Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
Date,,,,,,
2020-12-01,469.6073303222656,1390.0,1425.0,1340.0,1410.0,191809000
2020-12-02,469.6073303222656,1390.0,1410.0,1370.0,1400.0,111410600
2020-12-03,464.53973388671875,1375.0,1430.0,1375.0,1405.0,147801800
2020-12-04,484.810546875,1435.0,1460.0,1360.0,1405.0,403854300
2020-12-07,501.7028503417969,1485.0,1530.0,1475.0,1500.0,277745100
2020-12-08,521.9735717773438,1545.0,1545.0,1485.0,1510.0,414707600
2020-12-10,521.9735717773438,1545.0,1600.0,1525.0,1580.0,321869700
2020-12-11,518.59521484375,1535.0,1575.0,1530.0,1570.0,108605000
2020-12-14,530.4197387695312,1570.0,1585.0,1555.0,1560.0,175731000
2020-12-15,516.906005859375,1530.0,1575.0,1530.0,1570.0,143516900
2020-12-16,525.3521118164062,1555.0,1570.0,1545.0,1550.0,183469700
2020-12-17,503.3920593261719,1490.0,1555.0,1455.0,1555.0,255575900
2020-12-18,500.013671875,1480.0,1500.0,1465.0,1490.0,136218100
2020-12-21,525.3521118164062,1555.0,1595.0,1470.0,1490.0,289216400
2020-12-22,496.63507080078125,1470.0,1560.0,1470.0,1555.0,193705300
2020-12-23,503.3920593261719,1490.0,1540.0,1400.0,1500.0,177123600
2020-12-28,508.45977783203125,1505.0,1520.0,1460.0,1515.0,98726000
2020-12-29,503.3920593261719,1490.0,1540.0,1470.0,1530.0,99547900
2020-12-30,483.12127685546875,1430.0,1490.0,1425.0,1490.0,82195800
2021-01-04,491.5674133300781,1455.0,1460.0,1360.0,1430.0,110366200
2021-01-05,481.4319763183594,1425.0,1470.0,1420.0,1455.0,107023500
2021-01-06,464.53973388671875,1375.0,1420.0,1340.0,1415.0,203948800
2021-01-07,474.6750793457031,1405.0,1430.0,1360.0,1370.0,204243100
2021-01-08,488.1889343261719,1445.0,1485.0,1430.0,1450.0,165263900
2021-01-11,515.216796875,1525.0,1540.0,1470.0,1490.0,278542900
2021-01-12,498.3243408203125,1475.0,1535.0,1470.0,1530.0,183107400
2021-01-13,511.8382873535156,1515.0,1540.0,1490.0,1530.0,204773900
2021-01-14,505.0813293457031,1495.0,1535.0,1490.0,1525.0,105347800
2021-01-15,491.5674133300781,1455.0,1495.0,1450.0,1495.0,86423600
2021-01-18,486.49969482421875,1440.0,1485.0,1425.0,1450.0,101719800
2021-01-19,478.0535583496094,1415.0,1460.0,1390.0,1440.0,80577200
2021-01-20,478.0535583496094,1415.0,1440.0,1385.0,1400.0,77779700
2021-01-21,476.36431884765625,1410.0,1435.0,1405.0,1425.0,46712900
2021-01-22,456.093505859375,1350.0,1420.0,1345.0,1410.0,92579500
2021-01-25,437.51190185546875,1295.0,1350.0,1260.0,1350.0,142274300
2021-01-26,425.68731689453125,1260.0,1335.0,1230.0,1290.0,138670800
2021-01-27,420.6195373535156,1245.0,1285.0,1215.0,1260.0,119157300
2021-01-28,405.4164123535156,1200.0,1275.0,1190.0,1230.0,201003600
2021-01-29,405.4164123535156,1200.0,1255.0,1160.0,1220.0,192575300
2021-02-01,415.5518798828125,1230.0,1235.0,1165.0,1205.0,165569500
2021-02-02,405.4164123535156,1200.0,1265.0,1185.0,1230.0,176841000
2021-02-03,395.281005859375,1170.0,1210.0,1155.0,1200.0,173080500
2021-02-04,393.5918273925781,1165.0,1210.0,1150.0,1170.0,296042000
