Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMRT.JK,AMRT.JK,AMRT.JK,AMRT.JK,AMRT.JK,AMRT.JK
Date,,,,,,
2021-07-09,1259.6700439453125,1355.0,1360.0,1325.0,1340.0,37273300
2021-07-12,1268.966552734375,1365.0,1405.0,1345.0,1360.0,92253200
2021-07-13,1222.484375,1315.0,1380.0,1285.0,1370.0,83784400
2021-07-14,1203.891357421875,1295.0,1350.0,1230.0,1315.0,52934700
2021-07-15,1213.1878662109375,1305.0,1340.0,1295.0,1300.0,22581500
2021-07-16,1199.2431640625,1290.0,1335.0,1290.0,1310.0,13792900
2021-07-19,1166.70556640625,1255.0,1310.0,1255.0,1290.0,14264400
2021-07-21,1143.46435546875,1230.0,1265.0,1230.0,1255.0,16522500
2021-07-22,1166.70556640625,1255.0,1265.0,1190.0,1230.0,24582600
2021-07-23,1152.7607421875,1240.0,1270.0,1210.0,1265.0,14460000
2021-07-26,1166.70556640625,1255.0,1270.0,1210.0,1260.0,10180400
2021-07-27,1166.70556640625,1255.0,1290.0,1240.0,1265.0,21357900
2021-07-28,1287.5594482421875,1385.0,1430.0,1250.0,1255.0,84628600
2021-07-29,1282.9112548828125,1380.0,1425.0,1335.0,1385.0,48500400
2021-07-30,1255.0218505859375,1350.0,1390.0,1305.0,1380.0,26271600
2021-08-02,1324.7452392578125,1425.0,1450.0,1335.0,1360.0,44984700
2021-08-03,1287.5594482421875,1385.0,1435.0,1350.0,1410.0,31317400
2021-08-04,1278.2630615234375,1375.0,1395.0,1355.0,1380.0,10647000
2021-08-05,1255.0218505859375,1350.0,1390.0,1345.0,1375.0,11122600
2021-08-06,1268.966552734375,1365.0,1380.0,1345.0,1350.0,8457500
2021-08-09,1338.68994140625,1440.0,1475.0,1365.0,1370.0,63181200
2021-08-10,1338.68994140625,1440.0,1470.0,1375.0,1445.0,19312100
2021-08-12,1301.504150390625,1400.0,1550.0,1385.0,1450.0,39333400
2021-08-13,1306.1524658203125,1405.0,1420.0,1375.0,1405.0,14861800
2021-08-16,1306.1524658203125,1405.0,1425.0,1350.0,1405.0,23878400
2021-08-18,1217.8360595703125,1310.0,1405.0,1310.0,1405.0,63633400
2021-08-19,1143.46435546875,1230.0,1345.0,1220.0,1310.0,32771000
2021-08-20,1199.2431640625,1290.0,1325.0,1230.0,1230.0,25787000
2021-08-23,1115.5750732421875,1200.0,1310.0,1200.0,1290.0,24668700
2021-08-24,1203.891357421875,1295.0,1330.0,1210.0,1225.0,23666300
2021-08-25,1180.6502685546875,1270.0,1305.0,1265.0,1295.0,26510200
2021-08-26,1189.9466552734375,1280.0,1285.0,1240.0,1270.0,13510600
2021-08-27,1199.2431640625,1290.0,1290.0,1250.0,1280.0,13665700
2021-08-30,1236.428955078125,1330.0,1350.0,1300.0,1310.0,28046900
2021-08-31,1255.0218505859375,1350.0,1350.0,1290.0,1330.0,21932400
2021-09-01,1208.5396728515625,1300.0,1360.0,1285.0,1350.0,16200400
2021-09-02,1213.1878662109375,1305.0,1325.0,1280.0,1300.0,8446800
2021-09-03,1255.0218505859375,1350.0,1350.0,1300.0,1345.0,5809400
2021-09-06,1250.3736572265625,1345.0,1360.0,1330.0,1350.0,12744400
2021-09-07,1255.0218505859375,1350.0,1360.0,1340.0,1350.0,6304600
2021-09-08,1255.0218505859375,1350.0,1360.0,1335.0,1350.0,6447900
2021-09-09,1264.3182373046875,1360.0,1405.0,1345.0,1350.0,24722300
