Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK
Date,,,,,,
2021-01-26,2202.80419921875,2670.0,2930.0,2670.0,2900.0,786819300
2021-01-27,2103.8017578125,2550.0,2740.0,2490.0,2620.0,1341364800
2021-01-28,1963.54833984375,2380.0,2570.0,2380.0,2470.0,731854900
2021-01-29,1831.544921875,2220.0,2440.0,2220.0,2370.0,450321200
2021-02-01,2145.052734375,2600.0,2640.0,2070.0,2090.0,2186652700
2021-02-02,1996.549072265625,2420.0,2630.0,2420.0,2600.0,942434300
2021-02-03,1922.2972412109375,2330.0,2520.0,2290.0,2390.0,948031000
2021-02-04,1980.048583984375,2400.0,2520.0,2270.0,2400.0,874173400
2021-02-05,2194.5537109375,2660.0,2690.0,2370.0,2450.0,1157647700
2021-02-08,2334.807373046875,2830.0,2830.0,2700.0,2770.0,977135300
2021-02-09,2252.305419921875,2730.0,2860.0,2640.0,2850.0,877784900
2021-02-10,2417.309326171875,2930.0,2970.0,2720.0,2790.0,1401720500
2021-02-11,2367.807861328125,2870.0,2960.0,2850.0,2940.0,620114900
2021-02-15,2392.55859375,2900.0,2950.0,2880.0,2900.0,361594300
2021-02-16,2367.807861328125,2870.0,2940.0,2860.0,2910.0,349266100
2021-02-17,2268.8056640625,2750.0,2890.0,2720.0,2870.0,443154100
2021-02-18,2293.55615234375,2780.0,2820.0,2670.0,2700.0,349948000
2021-02-19,2376.058349609375,2880.0,2910.0,2730.0,2800.0,482821700
2021-02-22,2433.809814453125,2950.0,3040.0,2910.0,2940.0,834610300
2021-02-23,2425.559814453125,2940.0,3010.0,2920.0,2940.0,327105100
2021-02-24,2400.80908203125,2910.0,2970.0,2820.0,2930.0,386381000
2021-02-25,2442.06005859375,2960.0,3010.0,2940.0,2970.0,346787800
2021-02-26,2343.0576171875,2840.0,2890.0,2780.0,2840.0,1305042600
2021-03-01,2343.0576171875,2840.0,2880.0,2810.0,2850.0,166782500
2021-03-02,2252.305419921875,2730.0,2850.0,2720.0,2840.0,298489400
2021-03-03,2227.554931640625,2700.0,2770.0,2670.0,2770.0,192152700
2021-03-04,2079.05126953125,2520.0,2590.0,2520.0,2520.0,466387000
2021-03-05,1996.549072265625,2420.0,2520.0,2350.0,2370.0,745024700
2021-03-08,1881.0462646484375,2280.0,2500.0,2270.0,2490.0,476947100
2021-03-09,1839.7952880859375,2230.0,2360.0,2180.0,2280.0,515109500
2021-03-10,1839.7952880859375,2230.0,2280.0,2170.0,2260.0,193024600
2021-03-12,1996.549072265625,2420.0,2440.0,2280.0,2280.0,537855700
2021-03-15,1930.5472412109375,2340.0,2450.0,2280.0,2430.0,371987500
2021-03-16,1872.7958984375,2270.0,2350.0,2240.0,2350.0,231241100
2021-03-17,1897.5467529296875,2300.0,2330.0,2260.0,2290.0,147188700
2021-03-18,1889.2965087890625,2290.0,2350.0,2270.0,2350.0,149549500
2021-03-19,1856.2952880859375,2250.0,2280.0,2210.0,2270.0,123414100
2021-03-22,1864.5458984375,2260.0,2340.0,2250.0,2260.0,125924600
2021-03-23,1872.7958984375,2270.0,2310.0,2220.0,2300.0,141239100
2021-03-24,1790.2939453125,2170.0,2250.0,2170.0,2250.0,156928900
2021-03-25,1798.544189453125,2180.0,2230.0,2100.0,2170.0,191883200
2021-03-26,2004.799072265625,2430.0,2440.0,2200.0,2230.0,652293400
2021-03-29,1864.5458984375,2260.0,2430.0,2260.0,2430.0,454909500
2021-03-30,1823.2947998046875,2210.0,2320.0,2160.0,2270.0,282270900
2021-03-31,1856.2952880859375,2250.0,2250.0,2130.0,2180.0,268981300
2021-04-01,1848.04541015625,2240.0,2300.0,2200.0,2290.0,160897600
2021-04-05,1815.04443359375,2200.0,2280.0,2190.0,2280.0,107349400
2021-04-06,1922.2972412109375,2330.0,2340.0,2210.0,2250.0,323980600
2021-04-07,1947.0479736328125,2360.0,2370.0,2270.0,2330.0,237921000
2021-04-08,2037.7999267578125,2470.0,2480.0,2340.0,2360.0,327839300
2021-04-09,1930.5472412109375,2340.0,2490.0,2340.0,2450.0,264837100
2021-04-12,1856.2952880859375,2250.0,2310.0,2210.0,2310.0,194738500
2021-04-13,1872.7958984375,2270.0,2300.0,2220.0,2250.0,111017700
2021-04-14,1922.2972412109375,2330.0,2340.0,2280.0,2280.0,143891700
2021-04-15,1914.0469970703125,2320.0,2350.0,2300.0,2340.0,109175800
2021-04-16,1986.1292724609375,2390.0,2420.0,2310.0,2340.0,173387400
2021-04-19,1944.5784912109375,2340.0,2370.0,2300.0,2350.0,91552300
2021-04-20,1952.8887939453125,2350.0,2360.0,2300.0,2330.0,60372200
2021-04-21,1969.5087890625,2370.0,2400.0,2300.0,2320.0,112742900
2021-04-22,1952.8887939453125,2350.0,2440.0,2350.0,2380.0,119644900
2021-04-23,1927.958251953125,2320.0,2340.0,2310.0,2320.0,41022800
2021-04-26,1986.1292724609375,2390.0,2420.0,2340.0,2350.0,139616000
2021-04-27,1986.1292724609375,2390.0,2430.0,2360.0,2410.0,96606300
2021-04-28,2019.3699951171875,2430.0,2430.0,2350.0,2380.0,138325400
2021-04-29,2085.85107421875,2510.0,2540.0,2460.0,2460.0,325392600
2021-04-30,2069.23095703125,2490.0,2500.0,2440.0,2490.0,124672100
2021-05-03,2094.16162109375,2520.0,2560.0,2480.0,2500.0,171047200
2021-05-04,2177.26318359375,2620.0,2640.0,2500.0,2540.0,284137700
2021-05-05,2185.5732421875,2630.0,2640.0,2560.0,2620.0,180649900
2021-05-06,2177.26318359375,2620.0,2670.0,2580.0,2610.0,150793800
2021-05-07,2177.26318359375,2620.0,2650.0,2610.0,2630.0,133080200
2021-05-10,2227.1240234375,2680.0,2700.0,2620.0,2640.0,157887500
2021-05-11,2218.814208984375,2670.0,2690.0,2600.0,2600.0,164247600
2021-05-17,2085.85107421875,2510.0,2670.0,2500.0,2670.0,185205000
2021-05-18,2160.642578125,2600.0,2640.0,2540.0,2560.0,179403400
2021-05-19,2119.092041015625,2550.0,2640.0,2530.0,2580.0,111892800
2021-05-20,2011.0595703125,2420.0,2520.0,2420.0,2510.0,214175900
2021-05-21,1936.2684326171875,2330.0,2440.0,2310.0,2420.0,147528900
2021-05-24,1886.4072265625,2270.0,2390.0,2250.0,2360.0,128408600
2021-05-25,1936.2684326171875,2330.0,2410.0,2310.0,2310.0,186483800
2021-05-27,1986.1292724609375,2390.0,2390.0,2330.0,2340.0,148943500
2021-05-28,2044.30029296875,2460.0,2500.0,2430.0,2470.0,118544200
2021-05-31,2035.990478515625,2450.0,2480.0,2410.0,2480.0,57366900
2021-06-02,2119.092041015625,2550.0,2550.0,2440.0,2460.0,125654300
2021-06-03,2094.16162109375,2520.0,2600.0,2500.0,2540.0,131141700
2021-06-04,2019.3699951171875,2430.0,2480.0,2410.0,2480.0,160479400
2021-06-07,1977.8193359375,2380.0,2450.0,2370.0,2450.0,62115900
2021-06-08,1952.8887939453125,2350.0,2420.0,2350.0,2390.0,58838700
2021-06-09,2044.30029296875,2460.0,2480.0,2370.0,2380.0,117338500
2021-06-10,2011.0595703125,2420.0,2480.0,2420.0,2440.0,79751900
2021-06-11,2060.9208984375,2480.0,2500.0,2440.0,2460.0,94696000
2021-06-14,2002.749755859375,2410.0,2470.0,2400.0,2470.0,64557400
2021-06-15,1961.1988525390625,2360.0,2390.0,2340.0,2390.0,84189100
2021-06-16,1927.958251953125,2320.0,2360.0,2300.0,2330.0,77248800
2021-06-17,1936.2684326171875,2330.0,2350.0,2260.0,2290.0,74868000
2021-06-18,1853.166748046875,2230.0,2320.0,2210.0,2300.0,125507700
2021-06-21,1828.2362060546875,2200.0,2250.0,2130.0,2190.0,100386700
2021-06-22,1878.0972900390625,2260.0,2300.0,2220.0,2250.0,97671600
2021-06-23,1869.7867431640625,2250.0,2310.0,2240.0,2280.0,64275900
2021-06-24,1869.7867431640625,2250.0,2290.0,2240.0,2280.0,59257500
2021-06-25,1911.3380126953125,2300.0,2340.0,2280.0,2310.0,90478300
2021-06-28,1861.476806640625,2240.0,2310.0,2230.0,2310.0,65985000
2021-06-29,1844.8564453125,2220.0,2250.0,2210.0,2230.0,55524500
2021-06-30,1911.3380126953125,2300.0,2310.0,2230.0,2240.0,95174800
2021-07-01,1853.166748046875,2230.0,2310.0,2200.0,2280.0,89606900
2021-07-02,1844.8564453125,2220.0,2250.0,2190.0,2230.0,57200500
2021-07-05,1861.476806640625,2240.0,2260.0,2220.0,2230.0,60698700
2021-07-06,2060.9208984375,2480.0,2510.0,2240.0,2250.0,365880400
2021-07-07,2044.30029296875,2460.0,2470.0,2380.0,2450.0,146473200
2021-07-08,2119.092041015625,2550.0,2610.0,2460.0,2460.0,227835500
2021-07-09,2152.33251953125,2590.0,2630.0,2530.0,2560.0,185723500
2021-07-12,2119.092041015625,2550.0,2670.0,2520.0,2610.0,176941700
2021-07-13,2110.78173828125,2540.0,2610.0,2500.0,2560.0,128321100
2021-07-14,2152.33251953125,2590.0,2600.0,2500.0,2540.0,73148100
2021-07-15,2168.953125,2610.0,2630.0,2560.0,2580.0,107128500
2021-07-16,2177.26318359375,2620.0,2690.0,2610.0,2630.0,171972500
