Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
Date,,,,,,
2021-03-30,2183.96630859375,2900.0,3025.0,2887.5,3000.0,80632200
2021-03-31,2155.72509765625,2862.5,2925.0,2775.0,2900.0,87859400
2021-04-01,2136.897705078125,2837.5,2912.5,2812.5,2862.5,42609800
2021-04-05,2165.138671875,2875.0,2900.0,2837.5,2887.5,29858600
2021-04-06,2193.3798828125,2912.5,2950.0,2875.0,2900.0,36015000
2021-04-07,2174.552734375,2887.5,2950.0,2862.5,2950.0,35170000
2021-04-08,2200.7421875,2900.0,2912.5,2862.5,2875.0,32473000
2021-04-09,2276.6298828125,3000.0,3050.0,2912.5,2925.0,99272400
2021-04-12,2219.714599609375,2925.0,3025.0,2912.5,3012.5,43708800
2021-04-13,2200.7421875,2900.0,2937.5,2862.5,2925.0,36617000
2021-04-14,2238.6865234375,2950.0,2975.0,2900.0,2912.5,42649600
2021-04-15,2267.144287109375,2987.5,3012.5,2950.0,2975.0,35951800
2021-04-16,2257.657958984375,2975.0,3025.0,2937.5,3012.5,35331800
2021-04-19,2229.2001953125,2937.5,2987.5,2912.5,2950.0,23835600
2021-04-20,2248.172119140625,2962.5,2962.5,2900.0,2937.5,16545000
2021-04-21,2191.25634765625,2887.5,2937.5,2875.0,2937.5,26455400
2021-04-22,2153.3125,2837.5,2912.5,2825.0,2900.0,57216600
2021-04-23,2191.25634765625,2887.5,2900.0,2837.5,2837.5,37571600
2021-04-26,2172.28466796875,2862.5,2925.0,2850.0,2925.0,29762200
2021-04-27,2238.6865234375,2950.0,2950.0,2875.0,2900.0,61601400
2021-04-28,2210.228271484375,2912.5,2950.0,2900.0,2950.0,34861800
2021-04-29,2229.2001953125,2937.5,2962.5,2912.5,2937.5,22594200
2021-04-30,2162.79833984375,2850.0,2937.5,2825.0,2937.5,51811400
2021-05-03,2115.36865234375,2787.5,2862.5,2775.0,2850.0,47424400
2021-05-04,2134.340576171875,2812.5,2812.5,2762.5,2787.5,34481200
2021-05-05,2153.3125,2837.5,2862.5,2800.0,2825.0,38031800
2021-05-06,2162.79833984375,2850.0,2887.5,2837.5,2875.0,30785200
2021-05-07,2124.85498046875,2800.0,2875.0,2800.0,2875.0,29105000
2021-05-10,2115.36865234375,2787.5,2825.0,2775.0,2800.0,28382000
2021-05-11,2096.396728515625,2762.5,2787.5,2750.0,2787.5,25122800
2021-05-17,2086.910888671875,2750.0,2825.0,2725.0,2787.5,53778600
2021-05-18,2067.93896484375,2725.0,2775.0,2700.0,2750.0,26061200
2021-05-19,1992.05126953125,2625.0,2712.5,2600.0,2700.0,58396200
2021-05-20,1992.05126953125,2625.0,2662.5,2587.5,2600.0,47329400
2021-05-21,2020.5091552734375,2662.5,2700.0,2625.0,2650.0,51714600
2021-05-24,2011.02294921875,2650.0,2687.5,2650.0,2687.5,29090200
2021-05-25,2020.5091552734375,2662.5,2750.0,2650.0,2650.0,47884600
2021-05-27,1954.1075439453125,2575.0,2750.0,2575.0,2687.5,161699000
2021-05-28,1973.0794677734375,2600.0,2650.0,2600.0,2637.5,43171200
2021-05-31,2048.967041015625,2700.0,2750.0,2600.0,2612.5,69536200
2021-06-02,2105.882568359375,2775.0,2787.5,2712.5,2750.0,76636200
2021-06-03,2181.7705078125,2875.0,2875.0,2737.5,2787.5,54852600
2021-06-04,2134.340576171875,2812.5,2875.0,2800.0,2850.0,60249000
2021-06-07,2096.396728515625,2762.5,2825.0,2737.5,2812.5,29282200
2021-06-08,2096.396728515625,2762.5,2787.5,2737.5,2775.0,39074200
2021-06-09,2134.340576171875,2812.5,2825.0,2750.0,2787.5,31051200
2021-06-10,2153.3125,2837.5,2850.0,2800.0,2825.0,36977200
2021-06-11,2153.3125,2837.5,2850.0,2800.0,2837.5,37208800
2021-06-14,2105.882568359375,2775.0,2837.5,2762.5,2837.5,37052800
2021-06-15,2096.396728515625,2762.5,2787.5,2750.0,2775.0,28499000
2021-06-16,2039.481201171875,2687.5,2762.5,2662.5,2750.0,41794200
2021-06-17,1992.05126953125,2625.0,2675.0,2612.5,2675.0,51324600
2021-06-18,1874.4254150390625,2470.0,2612.5,2445.0,2612.5,309557000
2021-06-21,1885.8084716796875,2485.0,2495.0,2390.0,2445.0,106378400
2021-06-22,1878.219970703125,2475.0,2512.5,2455.0,2500.0,73577200
2021-06-23,1840.27587890625,2425.0,2485.0,2425.0,2485.0,79150800
2021-06-24,1828.8927001953125,2410.0,2445.0,2395.0,2425.0,58488200
2021-06-25,1806.1263427734375,2380.0,2440.0,2380.0,2410.0,55871200
2021-06-28,1737.82763671875,2290.0,2375.0,2290.0,2375.0,107955600
2021-06-29,1737.82763671875,2290.0,2330.0,2280.0,2290.0,51061600
2021-06-30,1756.7996826171875,2315.0,2340.0,2290.0,2290.0,75289400
2021-07-01,1783.3602294921875,2350.0,2390.0,2315.0,2315.0,58895400
2021-07-02,1832.687255859375,2415.0,2430.0,2350.0,2350.0,70071000
2021-07-05,1790.9490966796875,2360.0,2420.0,2350.0,2415.0,49599400
2021-07-06,1787.154541015625,2355.0,2375.0,2340.0,2365.0,53836400
2021-07-07,1794.743408203125,2365.0,2380.0,2340.0,2355.0,40015800
2021-07-08,1806.1263427734375,2380.0,2415.0,2360.0,2375.0,50402000
2021-07-09,1760.5938720703125,2320.0,2380.0,2310.0,2380.0,56642000
2021-07-12,1783.3602294921875,2350.0,2355.0,2300.0,2325.0,50318200
2021-07-13,1771.97705078125,2335.0,2375.0,2320.0,2360.0,35251400
2021-07-14,1737.82763671875,2290.0,2320.0,2280.0,2310.0,47666600
2021-07-15,1790.9490966796875,2360.0,2385.0,2290.0,2290.0,69427000
2021-07-16,1825.098388671875,2405.0,2415.0,2370.0,2375.0,52095400
2021-07-19,1828.8927001953125,2410.0,2425.0,2380.0,2405.0,35613800
2021-07-21,1859.248046875,2450.0,2480.0,2410.0,2410.0,72049800
2021-07-22,1954.1075439453125,2575.0,2625.0,2512.5,2512.5,121692000
2021-07-23,1925.649658203125,2537.5,2600.0,2525.0,2575.0,40381400
2021-07-26,1916.16357421875,2525.0,2562.5,2500.0,2550.0,37694000
2021-07-27,1906.6776123046875,2512.5,2550.0,2500.0,2550.0,29688200
2021-07-28,1882.0140380859375,2480.0,2525.0,2455.0,2512.5,49192200
2021-07-29,1870.631103515625,2465.0,2512.5,2455.0,2475.0,29831400
2021-07-30,1813.71533203125,2390.0,2465.0,2385.0,2450.0,84261600
2021-08-02,1828.8927001953125,2410.0,2415.0,2375.0,2390.0,27577000
2021-08-03,1878.219970703125,2475.0,2485.0,2400.0,2410.0,37556000
2021-08-04,1916.16357421875,2525.0,2537.5,2465.0,2490.0,42847800
2021-08-05,1973.0794677734375,2600.0,2612.5,2525.0,2525.0,84034200
2021-08-06,1944.62158203125,2562.5,2625.0,2525.0,2612.5,37009400
2021-08-09,1889.6029052734375,2490.0,2575.0,2480.0,2575.0,33795000
2021-08-10,1893.3970947265625,2495.0,2525.0,2475.0,2500.0,23582400
2021-08-12,1925.649658203125,2537.5,2550.0,2495.0,2525.0,20368000
2021-08-13,1935.1353759765625,2550.0,2575.0,2525.0,2562.5,17836000
2021-08-16,1954.1075439453125,2575.0,2587.5,2512.5,2575.0,27000000
2021-08-18,2058.453125,2712.5,2712.5,2575.0,2587.5,125505200
2021-08-19,2011.02294921875,2650.0,2712.5,2587.5,2700.0,95932200
2021-08-20,2058.453125,2712.5,2725.0,2600.0,2650.0,55731800
2021-08-23,2029.9952392578125,2675.0,2737.5,2637.5,2725.0,40378000
2021-08-24,2020.5091552734375,2662.5,2687.5,2625.0,2675.0,32190600
2021-08-25,1992.05126953125,2625.0,2675.0,2612.5,2662.5,22969800
2021-08-26,1982.5653076171875,2612.5,2650.0,2575.0,2637.5,33832400
2021-08-27,2011.02294921875,2650.0,2675.0,2612.5,2637.5,37452800
