Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,,
2021-09-23,2114.238525390625,3037.5,3062.5,3012.5,3062.5,40606000
2021-09-24,2079.4365234375,2987.5,3050.0,2962.5,3037.5,50278400
2021-09-27,2053.334716796875,2950.0,3012.5,2950.0,3000.0,68500800
2021-09-28,2070.735595703125,2975.0,3012.5,2950.0,2975.0,64652200
2021-09-29,2088.136962890625,3000.0,3025.0,2962.5,2975.0,56467400
2021-09-30,2140.34033203125,3075.0,3075.0,3000.0,3025.0,82812000
2021-10-01,2122.939208984375,3050.0,3100.0,3025.0,3075.0,74975400
2021-10-04,2253.44775390625,3237.5,3250.0,3075.0,3087.5,156691600
2021-10-05,2236.04638671875,3212.5,3275.0,3187.5,3225.0,94886200
2021-10-06,2296.950439453125,3300.0,3337.5,3225.0,3237.5,168775800
2021-10-07,2331.752685546875,3350.0,3412.5,3312.5,3325.0,253196600
2021-10-08,2401.357421875,3450.0,3487.5,3362.5,3362.5,223592000
2021-10-11,2401.357421875,3450.0,3462.5,3400.0,3450.0,123020200
2021-10-12,2436.15966796875,3500.0,3525.0,3462.5,3487.5,191044200
2021-10-13,2470.961669921875,3550.0,3550.0,3475.0,3537.5,134998000
2021-10-14,2497.0634765625,3587.5,3587.5,3525.0,3562.5,104307800
2021-10-15,2488.363037109375,3575.0,3600.0,3537.5,3587.5,84353000
2021-10-18,2497.0634765625,3587.5,3662.5,3575.0,3600.0,152951600
2021-10-19,2505.76416015625,3600.0,3625.0,3525.0,3625.0,99358000
2021-10-21,2497.0634765625,3587.5,3662.5,3562.5,3587.5,189264000
2021-10-22,2505.76416015625,3600.0,3612.5,3537.5,3550.0,65782600
2021-10-25,2479.66259765625,3562.5,3625.0,3562.5,3587.5,76296200
2021-10-26,2497.0634765625,3587.5,3600.0,3550.0,3550.0,55872800
2021-10-27,2488.363037109375,3575.0,3612.5,3562.5,3600.0,82925200
2021-10-28,2444.860107421875,3512.5,3575.0,3500.0,3562.5,99023600
2021-10-29,2497.0634765625,3587.5,3650.0,3575.0,3587.5,160952400
2021-11-01,2497.0634765625,3587.5,3625.0,3575.0,3625.0,65621400
2021-11-02,2444.860107421875,3512.5,3600.0,3500.0,3587.5,51923400
2021-11-03,2479.66259765625,3562.5,3625.0,3462.5,3487.5,107556600
2021-11-04,2497.0634765625,3587.5,3650.0,3587.5,3625.0,103726400
2021-11-05,2470.961669921875,3550.0,3625.0,3500.0,3625.0,48035600
2021-11-08,2436.15966796875,3500.0,3600.0,3500.0,3600.0,50517400
2021-11-09,2392.65673828125,3437.5,3550.0,3425.0,3525.0,120574200
2021-11-10,2488.363037109375,3575.0,3575.0,3437.5,3437.5,156118000
2021-11-11,2514.46435546875,3612.5,3612.5,3512.5,3562.5,86362400
2021-11-12,2470.961669921875,3550.0,3637.5,3525.0,3637.5,56807000
2021-11-15,2453.560546875,3525.0,3575.0,3525.0,3550.0,40131000
2021-11-16,2514.46435546875,3612.5,3612.5,3512.5,3525.0,76140200
2021-11-17,2514.46435546875,3612.5,3625.0,3575.0,3612.5,72789600
2021-11-18,2497.0634765625,3587.5,3612.5,3575.0,3600.0,30911600
2021-11-19,2523.165283203125,3625.0,3650.0,3575.0,3587.5,101125800
2021-11-22,2557.96728515625,3675.0,3750.0,3612.5,3675.0,92374400
2021-11-23,2488.363037109375,3575.0,3637.5,3550.0,3612.5,63127600
2021-11-24,2488.363037109375,3575.0,3587.5,3550.0,3562.5,56217000
2021-11-25,2557.96728515625,3675.0,3687.5,3587.5,3612.5,97473400
2021-11-26,2470.961669921875,3550.0,3662.5,3537.5,3662.5,78633400
2021-11-29,2497.0634765625,3587.5,3637.5,3462.5,3550.0,112673000
2021-11-30,2436.15966796875,3500.0,3625.0,3475.0,3625.0,219340400
2021-12-01,2462.26123046875,3537.5,3562.5,3475.0,3500.0,93119800
2021-12-02,2505.76416015625,3600.0,3625.0,3500.0,3537.5,70416400
2021-12-03,2488.363037109375,3575.0,3612.5,3550.0,3600.0,46109400
2021-12-06,2497.0634765625,3587.5,3625.0,3550.0,3575.0,52050400
2021-12-07,2540.566162109375,3650.0,3650.0,3587.5,3587.5,64289400
2021-12-08,2488.363037109375,3575.0,3650.0,3575.0,3637.5,56064200
2021-12-09,2557.96728515625,3675.0,3675.0,3562.5,3625.0,42688600
2021-12-10,2505.76416015625,3600.0,3612.5,3550.0,3600.0,93532200
2021-12-13,2479.66259765625,3562.5,3612.5,3562.5,3600.0,50091200
2021-12-14,2497.0634765625,3587.5,3600.0,3550.0,3562.5,65061400
2021-12-15,2531.86572265625,3637.5,3662.5,3562.5,3575.0,75677400
2021-12-16,2523.165283203125,3625.0,3662.5,3600.0,3650.0,69082400
2021-12-17,2488.363037109375,3575.0,3612.5,3537.5,3612.5,83945200
2021-12-20,2462.26123046875,3537.5,3575.0,3537.5,3550.0,57932600
2021-12-21,2488.363037109375,3575.0,3625.0,3550.0,3575.0,49859600
2021-12-22,2453.560546875,3525.0,3600.0,3525.0,3587.5,34814400
2021-12-23,2462.26123046875,3537.5,3575.0,3525.0,3525.0,44565000
2021-12-24,2453.560546875,3525.0,3575.0,3475.0,3550.0,54902200
2021-12-27,2436.15966796875,3500.0,3550.0,3487.5,3525.0,34096400
2021-12-28,2453.560546875,3525.0,3525.0,3487.5,3525.0,39835400
2021-12-29,2470.961669921875,3550.0,3562.5,3500.0,3537.5,20860200
