Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ESSA.JK,ESSA.JK,ESSA.JK,ESSA.JK,ESSA.JK,ESSA.JK
Date,,,,,,
2021-02-05,218.56932067871094,236.0,250.0,234.0,242.0,35175700
2021-02-08,220.42161560058594,238.0,240.0,234.0,238.0,28341000
2021-02-09,209.30792236328125,226.0,242.0,222.0,238.0,36188400
2021-02-10,201.89878845214844,218.0,232.0,212.0,230.0,32918000
2021-02-11,203.75106811523438,220.0,232.0,212.0,218.0,30940300
2021-02-15,203.75106811523438,220.0,224.0,218.0,222.0,10833400
2021-02-16,205.60336303710938,222.0,224.0,218.0,220.0,9412800
2021-02-17,201.89878845214844,218.0,228.0,218.0,224.0,16490400
2021-02-18,200.04649353027344,216.0,222.0,216.0,218.0,10209100
2021-02-19,213.0124969482422,230.0,236.0,212.0,214.0,72435100
2021-02-22,209.30792236328125,226.0,234.0,222.0,232.0,21021100
2021-02-23,205.60336303710938,222.0,230.0,222.0,226.0,8427300
2021-02-24,207.4556427001953,224.0,226.0,218.0,222.0,20778600
2021-02-25,203.75106811523438,220.0,228.0,218.0,226.0,12104800
2021-02-26,196.34194946289062,212.0,222.0,212.0,220.0,17073100
2021-03-01,198.19422912597656,214.0,220.0,212.0,212.0,9107100
2021-03-02,196.34194946289062,212.0,218.0,210.0,214.0,11703900
2021-03-03,192.6373748779297,208.0,214.0,206.0,212.0,11735000
2021-03-04,188.9328155517578,204.0,210.0,202.0,208.0,7628000
2021-03-05,203.75106811523438,220.0,220.0,200.0,200.0,32179600
2021-03-08,198.19422912597656,214.0,224.0,210.0,220.0,14139000
2021-03-09,196.34194946289062,212.0,216.0,208.0,212.0,7185600
2021-03-10,192.6373748779297,208.0,214.0,208.0,212.0,5297500
2021-03-12,203.75106811523438,220.0,220.0,208.0,208.0,20759600
2021-03-15,253.76268005371094,274.0,274.0,222.0,222.0,269813600
2021-03-16,246.35360717773438,266.0,298.0,258.0,290.0,160820300
2021-03-17,242.6490020751953,262.0,270.0,260.0,264.0,14056200
2021-03-18,275.9901123046875,298.0,304.0,262.0,264.0,269114800
2021-03-19,327.85400390625,354.0,364.0,286.0,298.0,531035000
2021-03-22,305.6266174316406,330.0,366.0,330.0,354.0,180039400
2021-03-23,296.3652038574219,320.0,354.0,320.0,350.0,157712900
2021-03-24,301.92205810546875,326.0,342.0,304.0,322.0,116132100
2021-03-25,305.6266174316406,330.0,354.0,312.0,332.0,175984600
2021-03-26,340.8199462890625,368.0,374.0,326.0,332.0,229069000
2021-03-29,351.93365478515625,380.0,396.0,360.0,368.0,260716700
2021-03-30,333.4108581542969,360.0,384.0,358.0,382.0,105625900
2021-03-31,324.1494445800781,350.0,374.0,342.0,360.0,116457700
2021-04-01,340.8199462890625,368.0,376.0,346.0,356.0,138237500
2021-04-05,335.2631530761719,362.0,380.0,354.0,368.0,75678000
2021-04-06,359.3428039550781,388.0,404.0,362.0,362.0,319584600
2021-04-07,363.0473937988281,392.0,392.0,376.0,388.0,115164400
2021-04-08,363.0473937988281,392.0,410.0,384.0,398.0,303015900
2021-04-09,351.93365478515625,380.0,396.0,380.0,394.0,84000900
2021-04-12,342.6722412109375,370.0,386.0,368.0,380.0,62914000
2021-04-13,355.63824462890625,384.0,412.0,370.0,370.0,241958900
2021-04-14,363.0473937988281,392.0,400.0,380.0,388.0,104909700
2021-04-15,366.751953125,396.0,412.0,386.0,392.0,157289600
2021-04-16,364.899658203125,394.0,414.0,394.0,398.0,150607200
2021-04-19,357.49053955078125,386.0,404.0,384.0,396.0,72903900
2021-04-20,355.63824462890625,384.0,392.0,380.0,386.0,23841100
2021-04-21,357.49053955078125,386.0,392.0,380.0,386.0,25044600
2021-04-22,372.30877685546875,402.0,408.0,380.0,386.0,127221000
2021-04-23,361.195068359375,390.0,422.0,390.0,410.0,338152800
2021-04-26,364.899658203125,394.0,400.0,390.0,400.0,51145100
2021-04-27,361.195068359375,390.0,398.0,384.0,394.0,39380900
2021-04-28,359.3428039550781,388.0,406.0,388.0,390.0,49530100
2021-04-29,357.49053955078125,386.0,392.0,384.0,390.0,39420500
2021-04-30,355.63824462890625,384.0,392.0,384.0,386.0,25549800
2021-05-03,335.2631530761719,362.0,390.0,362.0,390.0,84538400
2021-05-04,326.001708984375,352.0,370.0,342.0,370.0,70671400
2021-05-05,327.85400390625,354.0,364.0,350.0,352.0,28696100
2021-05-06,318.59259033203125,344.0,360.0,344.0,356.0,17637200
2021-05-07,313.03570556640625,338.0,354.0,330.0,344.0,80510200
2021-05-10,314.8880310058594,340.0,346.0,332.0,338.0,24347400
2021-05-11,309.3311767578125,334.0,344.0,332.0,340.0,18428100
2021-05-17,318.59259033203125,344.0,346.0,324.0,336.0,55596500
2021-05-18,316.74029541015625,342.0,352.0,330.0,344.0,46330000
2021-05-19,309.3311767578125,334.0,344.0,334.0,344.0,13404500
2021-05-20,353.78594970703125,382.0,384.0,332.0,336.0,194631100
