Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ICBP.JK,ICBP.JK,ICBP.JK,ICBP.JK,ICBP.JK,ICBP.JK
Date,,,,,,
2021-07-07,7281.181640625,8450.0,8500.0,8325.0,8350.0,4513900
2021-07-08,7302.72265625,8475.0,8550.0,8425.0,8475.0,3402100
2021-07-09,7367.349609375,8550.0,8600.0,8375.0,8400.0,6327200
2021-07-12,7604.310546875,8825.0,8900.0,8500.0,8550.0,12916200
2021-07-13,7712.0205078125,8950.0,9025.0,8725.0,8825.0,16894100
2021-07-14,7496.60107421875,8700.0,8950.0,8600.0,8950.0,7941000
2021-07-15,7475.05859375,8675.0,8800.0,8600.0,8675.0,2707700
2021-07-16,7388.8916015625,8575.0,8725.0,8450.0,8675.0,5375000
2021-07-19,7324.265625,8500.0,8575.0,8425.0,8575.0,3177400
2021-07-21,7324.265625,8500.0,8625.0,8425.0,8425.0,4519000
2021-07-22,7604.310546875,8825.0,8850.0,8525.0,8575.0,4700400
2021-07-23,7453.51708984375,8650.0,8825.0,8550.0,8825.0,4113700
2021-07-26,7518.142578125,8725.0,8800.0,8600.0,8700.0,3926200
2021-07-27,7324.265625,8500.0,8775.0,8450.0,8750.0,3332900
2021-07-28,7324.265625,8500.0,8550.0,8400.0,8500.0,2409400
2021-07-29,7195.013671875,8350.0,8500.0,8350.0,8500.0,4082900
2021-07-30,7001.1357421875,8125.0,8350.0,8125.0,8325.0,7765100
2021-08-02,7001.1357421875,8125.0,8250.0,8075.0,8125.0,5251600
2021-08-03,7087.30419921875,8225.0,8300.0,8125.0,8150.0,3370400
2021-08-04,7044.2197265625,8175.0,8275.0,8150.0,8250.0,2039900
2021-08-05,7022.677734375,8150.0,8200.0,8125.0,8175.0,4600500
2021-08-06,7130.3876953125,8275.0,8325.0,8150.0,8175.0,2308400
2021-08-09,7022.677734375,8150.0,8350.0,8100.0,8325.0,2627400
2021-08-10,6936.51025390625,8050.0,8200.0,7950.0,8200.0,6585900
2021-08-12,6958.05224609375,8075.0,8225.0,8050.0,8125.0,3115600
2021-08-13,7065.76220703125,8200.0,8250.0,8075.0,8075.0,2441900
2021-08-16,7108.8466796875,8250.0,8250.0,8150.0,8200.0,1827100
2021-08-18,7195.013671875,8350.0,8375.0,8250.0,8250.0,4277300
2021-08-19,7022.677734375,8150.0,8375.0,8150.0,8350.0,4775800
2021-08-20,7022.677734375,8150.0,8200.0,8100.0,8150.0,2045300
2021-08-23,7087.30419921875,8225.0,8250.0,8175.0,8250.0,1949700
2021-08-24,7065.76220703125,8200.0,8275.0,8125.0,8225.0,5218600
2021-08-25,7087.30419921875,8225.0,8300.0,8075.0,8300.0,7193700
2021-08-26,7087.30419921875,8225.0,8250.0,8125.0,8225.0,3990200
2021-08-27,7151.93017578125,8300.0,8300.0,8125.0,8225.0,7356500
2021-08-30,7410.43310546875,8600.0,8650.0,8325.0,8350.0,11729900
2021-08-31,7259.6396484375,8425.0,8625.0,8425.0,8600.0,5271700
2021-09-01,7238.0986328125,8400.0,8500.0,8325.0,8500.0,3241900
2021-09-02,7281.181640625,8450.0,8450.0,8325.0,8425.0,1920100
2021-09-03,7302.72265625,8475.0,8500.0,8425.0,8450.0,3556700
2021-09-06,7345.80810546875,8525.0,8550.0,8500.0,8500.0,4167800
2021-09-07,7447.4638671875,8425.0,8425.0,8325.0,8325.0,2986500
2021-09-08,7447.4638671875,8425.0,8450.0,8350.0,8450.0,6423000
2021-09-09,7535.86181640625,8525.0,8525.0,8375.0,8425.0,3731500
2021-09-10,7513.76220703125,8500.0,8525.0,8450.0,8525.0,1793900
2021-09-13,7447.4638671875,8425.0,8475.0,8375.0,8400.0,2351900
2021-09-14,7469.56396484375,8450.0,8475.0,8400.0,8425.0,1167000
2021-09-15,7403.26513671875,8375.0,8450.0,8350.0,8450.0,5544500
2021-09-16,7270.66943359375,8225.0,8400.0,8175.0,8375.0,6857300
2021-09-17,7204.3720703125,8150.0,8225.0,8150.0,8225.0,4816000
2021-09-20,7182.2724609375,8125.0,8250.0,8075.0,8250.0,4134700
2021-09-21,7336.9677734375,8300.0,8375.0,8100.0,8100.0,3757800
2021-09-22,7248.5703125,8200.0,8325.0,8200.0,8300.0,1639100
2021-09-23,7292.76904296875,8250.0,8300.0,8200.0,8275.0,1829100
2021-09-24,7336.9677734375,8300.0,8300.0,8175.0,8250.0,2634400
2021-09-27,7381.166015625,8350.0,8350.0,8200.0,8300.0,5104700
2021-09-28,7270.66943359375,8225.0,8350.0,8175.0,8350.0,4369400
2021-09-29,7270.66943359375,8225.0,8225.0,8150.0,8225.0,2750800
2021-09-30,7381.166015625,8350.0,8400.0,8225.0,8225.0,5656600
2021-10-01,7359.06689453125,8325.0,8400.0,8225.0,8350.0,4065700
2021-10-04,7646.357421875,8650.0,8650.0,8350.0,8375.0,11058600
2021-10-05,7801.05224609375,8825.0,8850.0,8600.0,8650.0,13184600
2021-10-06,7823.15234375,8850.0,8900.0,8700.0,8825.0,9047000
2021-10-07,7823.15234375,8850.0,9000.0,8800.0,8850.0,9890400
2021-10-08,7867.3505859375,8900.0,8925.0,8775.0,8850.0,5016500
2021-10-11,7823.15234375,8850.0,8925.0,8800.0,8900.0,4998400
2021-10-12,7845.251953125,8875.0,8900.0,8800.0,8875.0,7922600
2021-10-13,7911.54931640625,8950.0,9000.0,8800.0,8875.0,9413800
2021-10-14,8243.0390625,9325.0,9325.0,8975.0,9000.0,19813500
2021-10-15,8198.8408203125,9275.0,9425.0,9100.0,9350.0,10441700
2021-10-18,8220.9404296875,9300.0,9350.0,9200.0,9300.0,7172800
2021-10-19,8220.9404296875,9300.0,9350.0,9225.0,9300.0,5926900
2021-10-21,8154.64111328125,9225.0,9350.0,9100.0,9350.0,8833800
2021-10-22,8044.1455078125,9100.0,9225.0,9025.0,9225.0,8038500
2021-10-25,8044.1455078125,9100.0,9150.0,9025.0,9100.0,5603700
2021-10-26,8044.1455078125,9100.0,9200.0,9075.0,9125.0,6724600
2021-10-27,7823.15234375,8850.0,9175.0,8800.0,9150.0,7857600
2021-10-28,7778.95361328125,8800.0,8850.0,8675.0,8825.0,7670900
2021-10-29,7778.95361328125,8800.0,8925.0,8750.0,8800.0,7541300
2021-11-01,7778.95361328125,8800.0,8875.0,8700.0,8800.0,6520400
2021-11-02,7823.15234375,8850.0,8875.0,8775.0,8800.0,3320900
2021-11-03,7756.85400390625,8775.0,8850.0,8700.0,8850.0,6778900
2021-11-04,7778.95361328125,8800.0,8875.0,8775.0,8775.0,2796400
2021-11-05,7778.95361328125,8800.0,8850.0,8750.0,8800.0,5357200
2021-11-08,7867.3505859375,8900.0,8900.0,8800.0,8825.0,2606200
2021-11-09,7889.44970703125,8925.0,8975.0,8875.0,8925.0,2936800
2021-11-10,7867.3505859375,8900.0,8950.0,8825.0,8925.0,2206900
2021-11-11,7823.15234375,8850.0,8925.0,8800.0,8900.0,1269200
2021-11-12,7911.54931640625,8950.0,8950.0,8850.0,8900.0,1767300
2021-11-15,7889.44970703125,8925.0,8975.0,8900.0,8950.0,2870000
2021-11-16,7801.05224609375,8825.0,8975.0,8800.0,8950.0,6167400
2021-11-17,7823.15234375,8850.0,8875.0,8825.0,8825.0,6965500
2021-11-18,8022.04541015625,9075.0,9175.0,8875.0,8875.0,9739300
2021-11-19,7977.8466796875,9025.0,9200.0,9000.0,9150.0,4570900
2021-11-22,8022.04541015625,9075.0,9100.0,9000.0,9025.0,3401900
2021-11-23,7911.54931640625,8950.0,9050.0,8900.0,9050.0,5458400
2021-11-24,7955.74755859375,9000.0,9000.0,8950.0,8975.0,1648300
2021-11-25,7911.54931640625,8950.0,9025.0,8950.0,9000.0,1599300
2021-11-26,7845.251953125,8875.0,8975.0,8850.0,8950.0,5372700
2021-11-29,7845.251953125,8875.0,8900.0,8800.0,8875.0,7196000
2021-11-30,7469.56396484375,8450.0,9050.0,8450.0,9025.0,12610000
2021-12-01,7889.44970703125,8925.0,8950.0,8700.0,8725.0,15597800
2021-12-02,7823.15234375,8850.0,8975.0,8800.0,8900.0,2949200
2021-12-03,7690.556640625,8700.0,8850.0,8675.0,8825.0,5921800
2021-12-06,7734.75537109375,8750.0,8850.0,8700.0,8725.0,4168800
2021-12-07,7734.75537109375,8750.0,8800.0,8700.0,8800.0,4921400
2021-12-08,7756.85400390625,8775.0,8900.0,8750.0,8750.0,2751100
2021-12-09,7911.54931640625,8950.0,8950.0,8800.0,8875.0,2668700
2021-12-10,7823.15234375,8850.0,8975.0,8725.0,8950.0,4209200
2021-12-13,7734.75537109375,8750.0,8950.0,8750.0,8950.0,2949100
2021-12-14,7690.556640625,8700.0,8775.0,8700.0,8750.0,4739900
2021-12-15,7778.95361328125,8800.0,8800.0,8700.0,8700.0,2295800
2021-12-16,7734.75537109375,8750.0,8825.0,8675.0,8825.0,3678900
2021-12-17,7778.95361328125,8800.0,8800.0,8700.0,8725.0,5451900
2021-12-20,7801.05224609375,8825.0,8825.0,8700.0,8800.0,2285700
2021-12-21,7734.75537109375,8750.0,8825.0,8700.0,8775.0,2317600
2021-12-22,7668.45703125,8675.0,8775.0,8500.0,8750.0,6189900
2021-12-23,7756.85400390625,8775.0,8775.0,8650.0,8700.0,2797800
2021-12-24,7712.6552734375,8725.0,8800.0,8650.0,8775.0,2906000
2021-12-27,7646.357421875,8650.0,8725.0,8625.0,8725.0,1290200
2021-12-28,7690.556640625,8700.0,8750.0,8650.0,8650.0,3719600
2021-12-29,7668.45703125,8675.0,8725.0,8650.0,8700.0,2009000
2021-12-30,7690.556640625,8700.0,8725.0,8600.0,8675.0,4302200
2022-01-03,7624.25830078125,8625.0,8725.0,8600.0,8675.0,2449700
2022-01-04,7756.85400390625,8775.0,8850.0,8625.0,8650.0,4450000
