Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INCO.JK,INCO.JK,INCO.JK,INCO.JK,INCO.JK,INCO.JK
Date,,,,,,
2020-12-03,4787.546875,4970.0,5125.0,4890.0,4890.0,33930400
2020-12-04,4787.546875,4970.0,5000.0,4930.0,5000.0,11642200
2020-12-07,4912.7744140625,5100.0,5150.0,5050.0,5050.0,18266300
2020-12-08,4840.52783203125,5025.0,5175.0,4980.0,5150.0,15053800
2020-12-10,4840.52783203125,5025.0,5300.0,5000.0,5150.0,33872800
2020-12-11,5033.185546875,5225.0,5375.0,5150.0,5300.0,20425200
2020-12-14,5081.35009765625,5275.0,5450.0,5225.0,5400.0,22682200
2020-12-15,5057.26806640625,5250.0,5300.0,5125.0,5275.0,20916000
2020-12-16,5298.09033203125,5500.0,5900.0,5250.0,5325.0,83266100
2020-12-17,5201.76123046875,5400.0,5625.0,5350.0,5500.0,31492500
2020-12-18,5177.67919921875,5375.0,5550.0,5325.0,5400.0,24948600
2020-12-21,5201.76123046875,5400.0,5500.0,5275.0,5450.0,25172200
2020-12-22,4912.7744140625,5100.0,5400.0,5025.0,5375.0,40718100
2020-12-23,4888.6923828125,5075.0,5150.0,4800.0,5100.0,32462500
2020-12-28,5153.5966796875,5350.0,5350.0,5025.0,5175.0,27386500
2020-12-29,5009.103515625,5200.0,5475.0,5175.0,5425.0,21764600
2020-12-30,4912.7744140625,5100.0,5225.0,5025.0,5200.0,15687700
2021-01-04,5298.09033203125,5500.0,5500.0,5000.0,5200.0,34467200
2021-01-05,5538.91259765625,5750.0,5825.0,5400.0,5500.0,66285900
2021-01-06,5587.0771484375,5800.0,5875.0,5375.0,5850.0,42312200
2021-01-07,6333.6259765625,6575.0,6950.0,5850.0,5900.0,142914600
2021-01-08,6261.37939453125,6500.0,7000.0,6475.0,6650.0,80518500
2021-01-11,6020.55712890625,6250.0,6525.0,6200.0,6500.0,70983200
2021-01-12,6237.296875,6475.0,6650.0,6125.0,6250.0,75061400
2021-01-13,6405.87255859375,6650.0,6850.0,6425.0,6575.0,80107500
2021-01-14,6357.7080078125,6600.0,7100.0,6500.0,6650.0,121101200
2021-01-15,6381.79052734375,6625.0,7000.0,6600.0,6875.0,50165400
2021-01-18,5972.39306640625,6200.0,6750.0,6175.0,6600.0,51284100
2021-01-19,5731.5703125,5950.0,6175.0,5775.0,6175.0,74430300
2021-01-20,6405.87255859375,6650.0,6675.0,5925.0,5950.0,75949000
2021-01-21,6478.11962890625,6725.0,6875.0,6525.0,6775.0,45688300
2021-01-22,6092.8037109375,6325.0,6750.0,6275.0,6725.0,41096600
2021-01-25,6116.8857421875,6350.0,6450.0,5925.0,6300.0,32262200
2021-01-26,5924.22802734375,6150.0,6575.0,6025.0,6400.0,29133900
2021-01-27,5538.91259765625,5750.0,6175.0,5725.0,6150.0,60646700
2021-01-28,5201.76123046875,5400.0,5750.0,5350.0,5600.0,76528100
2021-01-29,5298.09033203125,5500.0,5875.0,5225.0,5500.0,55872500
2021-02-01,6020.55712890625,6250.0,6300.0,5225.0,5600.0,87291800
2021-02-02,5683.40576171875,5900.0,6375.0,5850.0,6350.0,50442600
2021-02-03,5635.24169921875,5850.0,6100.0,5750.0,6025.0,24288200
2021-02-04,5635.24169921875,5850.0,6025.0,5750.0,5875.0,18261900
2021-02-05,5803.8173828125,6025.0,6075.0,5800.0,5900.0,26852100
2021-02-08,5924.22802734375,6150.0,6250.0,6050.0,6150.0,29191400
2021-02-09,5731.5703125,5950.0,6200.0,5850.0,6200.0,28008900
2021-02-10,5803.8173828125,6025.0,6100.0,5875.0,6000.0,15835800
2021-02-11,6140.96875,6375.0,6500.0,6025.0,6125.0,89617000
2021-02-15,6068.7216796875,6300.0,6425.0,6250.0,6375.0,23435100
2021-02-16,5996.474609375,6225.0,6400.0,6200.0,6350.0,31809000
2021-02-17,5851.9814453125,6075.0,6325.0,5950.0,6300.0,27155000
2021-02-18,5972.39306640625,6200.0,6225.0,5975.0,6075.0,19280000
2021-02-19,6092.8037109375,6325.0,6350.0,6125.0,6300.0,32144700
2021-02-22,6189.1328125,6425.0,6625.0,6400.0,6475.0,62201300
2021-02-23,6237.296875,6475.0,6550.0,6350.0,6450.0,20733700
2021-02-24,6068.7216796875,6300.0,6500.0,6200.0,6475.0,15368000
2021-02-25,6068.7216796875,6300.0,6500.0,6275.0,6450.0,19069000
2021-02-26,5851.9814453125,6075.0,6175.0,5925.0,6000.0,38750200
2021-03-01,5851.9814453125,6075.0,6175.0,5950.0,6150.0,10044400
2021-03-02,5659.32373046875,5875.0,6075.0,5825.0,6050.0,27009500
2021-03-03,5707.48828125,5925.0,5950.0,5800.0,5875.0,14076000
2021-03-04,5322.17236328125,5525.0,5625.0,5525.0,5600.0,47709400
2021-03-05,4960.93896484375,5150.0,5400.0,5150.0,5150.0,101200300
2021-03-08,4652.6865234375,4830.0,5275.0,4800.0,5200.0,77938000
2021-03-09,4382.9658203125,4550.0,4810.0,4510.0,4800.0,113826500
2021-03-10,4363.7001953125,4530.0,4640.0,4460.0,4580.0,48612700
2021-03-12,4469.66162109375,4640.0,4820.0,4580.0,4620.0,104333100
2021-03-15,4537.091796875,4710.0,4740.0,4530.0,4640.0,51202800
2021-03-16,4392.5986328125,4560.0,4770.0,4480.0,4750.0,47029800
2021-03-17,4344.43408203125,4510.0,4580.0,4470.0,4510.0,37586500
2021-03-18,4421.4970703125,4590.0,4640.0,4560.0,4590.0,30447400
2021-03-19,4334.80126953125,4500.0,4570.0,4480.0,4560.0,38380200
2021-03-22,4354.06689453125,4520.0,4580.0,4500.0,4550.0,22481100
2021-03-23,4334.80126953125,4500.0,4560.0,4460.0,4540.0,25548500
2021-03-24,4142.14306640625,4300.0,4460.0,4280.0,4450.0,36680000
2021-03-25,4199.9404296875,4360.0,4430.0,4270.0,4320.0,24187900
2021-03-26,4508.193359375,4680.0,4690.0,4380.0,4410.0,80072600
2021-03-29,4373.33251953125,4540.0,4720.0,4510.0,4700.0,38826000
2021-03-30,4334.80126953125,4500.0,4600.0,4480.0,4580.0,17162200
2021-03-31,4219.2060546875,4380.0,4460.0,4340.0,4450.0,17867700
2021-04-01,4315.53564453125,4480.0,4500.0,4380.0,4480.0,14830000
2021-04-05,4267.37060546875,4430.0,4550.0,4390.0,4540.0,12044500
2021-04-06,4488.92724609375,4660.0,4680.0,4460.0,4480.0,32268500
2021-04-07,4508.193359375,4680.0,4730.0,4620.0,4700.0,19824800
2021-04-08,4643.0537109375,4820.0,4840.0,4660.0,4710.0,29419700
2021-04-09,4450.3955078125,4620.0,4830.0,4620.0,4820.0,18607800
2021-04-12,4296.26953125,4460.0,4590.0,4420.0,4590.0,11530300
2021-04-13,4209.57373046875,4370.0,4500.0,4320.0,4500.0,12066800
2021-04-14,4267.37060546875,4430.0,4450.0,4370.0,4370.0,11222700
2021-04-15,4151.7763671875,4310.0,4470.0,4300.0,4460.0,17030400
2021-04-16,4190.3076171875,4350.0,4390.0,4310.0,4330.0,17932700
2021-04-19,4151.7763671875,4310.0,4350.0,4300.0,4350.0,10661100
2021-04-20,4113.24462890625,4270.0,4300.0,4210.0,4290.0,17350100
2021-04-21,4007.28271484375,4160.0,4230.0,4110.0,4230.0,27339500
2021-04-22,4036.18115234375,4190.0,4240.0,4160.0,4160.0,17765900
2021-04-23,3997.649658203125,4150.0,4200.0,4140.0,4200.0,10375700
2021-04-26,4151.7763671875,4310.0,4320.0,4200.0,4200.0,24265600
2021-04-27,4171.0419921875,4330.0,4400.0,4290.0,4370.0,20059700
2021-04-28,4315.53564453125,4480.0,4490.0,4330.0,4330.0,23478900
2021-04-29,4479.2939453125,4650.0,4670.0,4520.0,4530.0,34853500
2021-04-30,4440.7626953125,4610.0,4640.0,4540.0,4630.0,16972300
2021-05-03,4402.23193359375,4570.0,4690.0,4560.0,4650.0,15291000
