Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INKP.JK,INKP.JK,INKP.JK,INKP.JK,INKP.JK,INKP.JK
Date,,,,,,
2021-07-15,6813.99072265625,7125.0,7200.0,7025.0,7025.0,4318000
2021-07-16,7053.07763671875,7375.0,7475.0,7125.0,7175.0,5833500
2021-07-19,7339.98291015625,7675.0,7775.0,7275.0,7375.0,9201100
2021-07-21,7339.98291015625,7675.0,7825.0,7575.0,7750.0,6359300
2021-07-22,7555.16162109375,7900.0,7950.0,7675.0,7675.0,4850100
2021-07-23,7339.98291015625,7675.0,8000.0,7650.0,7975.0,3951200
2021-07-26,7100.89599609375,7425.0,7750.0,7425.0,7675.0,5200900
2021-07-27,7196.53076171875,7525.0,7625.0,7400.0,7475.0,3499600
2021-07-28,6933.5341796875,7250.0,7550.0,7200.0,7525.0,5525600
2021-07-29,6813.99072265625,7125.0,7375.0,7100.0,7300.0,8486500
2021-07-30,6503.1767578125,6800.0,7200.0,6725.0,7150.0,16263100
2021-08-02,6550.99462890625,6850.0,6875.0,6700.0,6800.0,5260500
2021-08-03,6550.99462890625,6850.0,7075.0,6850.0,6950.0,4260700
2021-08-04,6694.447265625,7000.0,7100.0,6850.0,6875.0,5560200
2021-08-05,6550.99462890625,6850.0,7025.0,6825.0,7000.0,4871200
2021-08-06,6694.447265625,7000.0,7250.0,6850.0,6850.0,6446200
2021-08-09,6431.451171875,6725.0,7075.0,6700.0,7050.0,9053500
2021-08-10,6431.451171875,6725.0,6825.0,6675.0,6725.0,5577800
2021-08-12,6431.451171875,6725.0,6825.0,6700.0,6800.0,6893300
2021-08-13,6407.5419921875,6700.0,6925.0,6675.0,6775.0,9321400
2021-08-16,6144.5458984375,6425.0,6775.0,6400.0,6725.0,12458300
2021-08-18,6120.63720703125,6400.0,6575.0,6350.0,6500.0,9810800
2021-08-19,5977.185546875,6250.0,6425.0,6200.0,6375.0,6939600
2021-08-20,6001.09375,6275.0,6350.0,6200.0,6200.0,6024700
2021-08-23,6072.8203125,6350.0,6500.0,6300.0,6300.0,6825500
2021-08-24,6574.90380859375,6875.0,7175.0,6500.0,6500.0,25078000
2021-08-25,6503.1767578125,6800.0,7075.0,6725.0,6975.0,10519100
2021-08-26,6503.1767578125,6800.0,7225.0,6750.0,6800.0,20707900
2021-08-27,6503.1767578125,6800.0,6950.0,6700.0,6800.0,10313800
2021-08-30,7124.8046875,7450.0,7500.0,6875.0,6900.0,23214800
2021-08-31,7555.16162109375,7900.0,8000.0,7350.0,7525.0,25597200
2021-09-01,7435.61767578125,7775.0,8175.0,7700.0,7900.0,16602400
