Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ISAT.JK,ISAT.JK,ISAT.JK,ISAT.JK,ISAT.JK,ISAT.JK
Date,,,,,,
2021-01-27,1078.26953125,1375.0,1450.0,1318.75,1375.0,57200400
2021-01-28,1014.5535278320312,1293.75,1387.5,1281.25,1375.0,41552400
2021-01-29,985.1463012695312,1256.25,1325.0,1205.0,1293.75,35741600
2021-02-01,999.849853515625,1275.0,1312.5,1192.5,1225.0,25277200
2021-02-02,1053.763427734375,1343.75,1387.5,1250.0,1287.5,36845600
2021-02-03,1014.5535278320312,1293.75,1362.5,1250.0,1362.5,30663200
2021-02-04,1092.9732666015625,1393.75,1475.0,1300.0,1300.0,106695200
2021-02-05,1068.467041015625,1362.5,1412.5,1331.25,1406.25,27010800
2021-02-08,1078.26953125,1375.0,1418.75,1362.5,1375.0,32089600
2021-02-09,1078.26953125,1375.0,1431.25,1350.0,1400.0,26111600
2021-02-10,1137.0843505859375,1450.0,1462.5,1337.5,1393.75,56426400
2021-02-11,1166.49169921875,1487.5,1537.5,1450.0,1456.25,51298400
2021-02-15,1186.0965576171875,1512.5,1525.0,1475.0,1487.5,29690400
2021-02-16,1190.997802734375,1518.75,1525.0,1468.75,1512.5,29943600
2021-02-17,1132.1829833984375,1443.75,1518.75,1412.5,1506.25,36954800
2021-02-18,1092.9732666015625,1393.75,1450.0,1387.5,1418.75,26858000
2021-02-19,1117.4793701171875,1425.0,1431.25,1318.75,1393.75,22048800
2021-02-22,1176.2939453125,1500.0,1512.5,1437.5,1475.0,70416400
2021-02-23,1137.0843505859375,1450.0,1512.5,1412.5,1500.0,58343600
2021-02-24,1112.578125,1418.75,1487.5,1406.25,1456.25,28396400
2021-02-25,1117.4793701171875,1425.0,1443.75,1412.5,1425.0,17641200
2021-02-26,1088.072021484375,1387.5,1450.0,1387.5,1400.0,39618000
2021-03-01,1132.1829833984375,1443.75,1487.5,1343.75,1387.5,31187200
2021-03-02,1092.9732666015625,1393.75,1456.25,1393.75,1443.75,14035200
2021-03-03,1107.6768798828125,1412.5,1425.0,1393.75,1393.75,7680000
2021-03-04,1127.2816162109375,1437.5,1512.5,1393.75,1412.5,35656000
2021-03-05,1102.775634765625,1406.25,1437.5,1393.75,1437.5,16707600
2021-03-08,1112.578125,1418.75,1431.25,1400.0,1425.0,12183600
2021-03-09,1097.8743896484375,1400.0,1468.75,1400.0,1418.75,31064000
2021-03-10,1068.467041015625,1362.5,1425.0,1350.0,1393.75,13678000
2021-03-12,1107.6768798828125,1412.5,1412.5,1350.0,1362.5,15274400
2021-03-15,1102.775634765625,1406.25,1437.5,1406.25,1412.5,13456800
2021-03-16,1210.6026611328125,1543.75,1650.0,1406.25,1406.25,176234000
2021-03-17,1186.0965576171875,1512.5,1612.5,1487.5,1543.75,57736400
2021-03-18,1293.9234619140625,1650.0,1756.25,1493.75,1525.0,120371600
2021-03-19,1303.7259521484375,1662.5,1737.5,1625.0,1656.25,158148800
2021-03-22,1215.5037841796875,1550.0,1675.0,1550.0,1675.0,25834000
2021-03-23,1205.701416015625,1537.5,1600.0,1500.0,1550.0,43484800
2021-03-24,1205.701416015625,1537.5,1587.5,1512.5,1537.5,14645600
2021-03-25,1308.6270751953125,1668.75,1700.0,1531.25,1550.0,62588400
2021-03-26,1269.4173583984375,1618.75,1687.5,1600.0,1675.0,26517200
