Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK
Date,,,,,,
2021-02-18,5507.32080078125,12150.0,12550.0,12100.0,12550.0,1990900
2021-02-19,5529.984375,12200.0,12200.0,11975.0,12150.0,1401100
2021-02-22,5790.61962890625,12775.0,12800.0,12200.0,12225.0,3342100
2021-02-23,5563.98046875,12275.0,12800.0,12225.0,12775.0,3169200
2021-02-24,5495.98876953125,12125.0,12300.0,12100.0,12275.0,1902800
2021-02-25,5484.65625,12100.0,12400.0,12100.0,12225.0,1985800
2021-02-26,5529.984375,12200.0,12250.0,11850.0,12000.0,2693000
2021-03-01,5461.9931640625,12050.0,12300.0,12025.0,12200.0,1775600
2021-03-02,5439.3291015625,12000.0,12325.0,11950.0,12250.0,3451000
2021-03-03,5405.3330078125,11925.0,12175.0,11925.0,12175.0,1639700
2021-03-04,5394.0009765625,11900.0,12100.0,11800.0,11900.0,3199200
2021-03-05,5292.01416015625,11675.0,11950.0,11650.0,11850.0,2568600
2021-03-08,5280.68212890625,11650.0,11875.0,11600.0,11825.0,2089700
2021-03-09,5190.02587890625,11450.0,11850.0,11450.0,11775.0,3188100
2021-03-10,5178.6943359375,11425.0,11650.0,11425.0,11450.0,1308800
2021-03-12,5235.35400390625,11550.0,11825.0,11450.0,11475.0,2865700
2021-03-15,5360.005859375,11825.0,11975.0,11450.0,11650.0,3275900
2021-03-16,5382.669921875,11875.0,12000.0,11750.0,11875.0,1887100
2021-03-17,5314.67822265625,11725.0,11925.0,11675.0,11900.0,1047800
2021-03-18,5563.98046875,12275.0,12375.0,11850.0,11900.0,4792500
2021-03-19,5609.30810546875,12375.0,12475.0,12025.0,12275.0,3925100
2021-03-22,5643.30419921875,12450.0,12825.0,12400.0,12625.0,4428700
2021-03-23,5733.95947265625,12650.0,13200.0,12500.0,12750.0,5376300
2021-03-24,5473.32470703125,12075.0,12550.0,12025.0,12500.0,2994000
2021-03-25,5416.6650390625,11950.0,12175.0,11825.0,12025.0,2311000
2021-03-26,5529.984375,12200.0,12225.0,11900.0,12050.0,1605700
2021-03-29,5518.65283203125,12175.0,12325.0,12075.0,12300.0,1129600
2021-03-30,5371.337890625,11850.0,12150.0,11825.0,12150.0,1233900
2021-03-31,5178.6943359375,11425.0,11925.0,11425.0,11925.0,2868100
2021-04-01,5303.3466796875,11700.0,11850.0,11475.0,11500.0,1623400
2021-04-05,5756.6240234375,12700.0,12700.0,11775.0,11800.0,6388900
2021-04-06,5699.9638671875,12575.0,12725.0,12300.0,12700.0,3102900
2021-04-07,5711.2958984375,12600.0,12625.0,12225.0,12300.0,1677200
2021-04-08,5699.9638671875,12575.0,12675.0,12400.0,12600.0,1409300
2021-04-09,5609.30810546875,12375.0,12625.0,12325.0,12550.0,1498200
2021-04-12,5394.0009765625,11900.0,12500.0,11875.0,12375.0,1797700
2021-04-13,5303.3466796875,11700.0,12075.0,11700.0,11875.0,2755200
2021-04-14,5473.32470703125,12075.0,12125.0,11800.0,11800.0,1106400
2021-04-15,5481.138671875,11925.0,12200.0,11800.0,12200.0,1497500
2021-04-16,5481.138671875,11925.0,11975.0,11700.0,11950.0,904300
2021-04-19,5791.39208984375,12600.0,12875.0,11900.0,11950.0,5021800
2021-04-20,5630.51953125,12250.0,12625.0,12125.0,12600.0,1077900
2021-04-21,5584.556640625,12150.0,12200.0,12050.0,12075.0,696800
2021-04-22,5550.08349609375,12075.0,12225.0,11950.0,12150.0,743900
2021-04-23,5550.08349609375,12075.0,12175.0,11900.0,11900.0,750500
2021-04-26,5446.66650390625,11850.0,12075.0,11800.0,12075.0,1050100
2021-04-27,5412.19384765625,11775.0,11975.0,11700.0,11850.0,706800
2021-04-28,5469.6474609375,11900.0,11950.0,11775.0,11775.0,434100
2021-04-29,5515.611328125,12000.0,12175.0,11925.0,11950.0,1584500
2021-04-30,5458.1572265625,11875.0,12050.0,11775.0,12050.0,1903400
2021-05-03,5458.1572265625,11875.0,11900.0,11750.0,11825.0,1040500
2021-05-04,5561.57470703125,12100.0,12175.0,11850.0,11950.0,1228500
2021-05-05,5515.611328125,12000.0,12125.0,11950.0,12100.0,577300
2021-05-06,5573.0654296875,12125.0,12400.0,12050.0,12125.0,1280300
2021-05-07,5596.0478515625,12175.0,12400.0,12100.0,12275.0,1337800
2021-05-10,5676.4833984375,12350.0,12400.0,12150.0,12250.0,1687100
2021-05-11,5917.79150390625,12875.0,13075.0,12600.0,12600.0,7472800
2021-05-17,5975.24560546875,13000.0,13475.0,12800.0,13000.0,7422700
2021-05-18,6009.71826171875,13075.0,13100.0,12825.0,13000.0,2261300
2021-05-19,5871.82861328125,12775.0,13100.0,12675.0,13075.0,2014400
2021-05-20,5837.35595703125,12700.0,12975.0,12525.0,12775.0,1954900
2021-05-21,5848.8466796875,12725.0,13000.0,12550.0,12900.0,1502300
2021-05-24,5986.73681640625,13025.0,13350.0,12875.0,13000.0,4175800
2021-05-25,5963.7548828125,12975.0,13300.0,12875.0,13200.0,2340100
2021-05-27,5952.26513671875,12950.0,13150.0,12925.0,13100.0,1756900
2021-05-28,5963.7548828125,12975.0,13300.0,12900.0,13025.0,2974300
2021-05-31,5940.7734375,12925.0,13250.0,12800.0,13200.0,2388900
2021-06-02,6503.8251953125,14150.0,14175.0,13050.0,13075.0,14867800
2021-06-03,6457.8623046875,14050.0,14175.0,13850.0,14150.0,2495000
2021-06-04,6480.84326171875,14100.0,14125.0,13875.0,13975.0,3315700
2021-06-07,6319.97119140625,13750.0,14075.0,13675.0,14075.0,2346100
2021-06-08,6538.2978515625,14225.0,14375.0,13975.0,14000.0,5497100
2021-06-09,6515.3154296875,14175.0,14400.0,14125.0,14300.0,1753600
2021-06-10,6480.84326171875,14100.0,14325.0,14050.0,14275.0,1720500
2021-06-11,6848.55126953125,14900.0,15075.0,14300.0,14300.0,9271900
2021-06-14,6906.00439453125,15025.0,15050.0,14700.0,14950.0,2803100
2021-06-15,6974.94970703125,15175.0,15200.0,14750.0,14950.0,4343400
2021-06-16,6986.43994140625,15200.0,15200.0,14900.0,15100.0,2489000
2021-06-17,6917.49560546875,15050.0,15200.0,14875.0,15200.0,2433500
2021-06-18,6710.66064453125,14600.0,15075.0,14325.0,15050.0,3753000
2021-06-21,6618.73388671875,14400.0,14500.0,13850.0,14500.0,2463200
2021-06-22,6745.13330078125,14675.0,14700.0,14350.0,14400.0,1561100
2021-06-23,6607.2431640625,14375.0,14575.0,14100.0,14150.0,3322900
2021-06-24,6595.75146484375,14350.0,14500.0,13875.0,14375.0,2887600
2021-06-25,6710.66064453125,14600.0,14825.0,14300.0,14325.0,4048800
2021-06-28,6607.2431640625,14375.0,14825.0,14250.0,14800.0,2229800
2021-06-29,6342.953125,13800.0,14325.0,13550.0,14300.0,3941900
2021-06-30,6526.80712890625,14200.0,14250.0,13525.0,13775.0,2736100
2021-07-01,6423.38916015625,13975.0,14450.0,13800.0,14450.0,1968200
2021-07-02,6561.279296875,14275.0,14400.0,13900.0,14100.0,2531100
2021-07-05,6434.87939453125,14000.0,14350.0,13950.0,14300.0,1374800
2021-07-06,7112.8408203125,15475.0,15675.0,14300.0,14300.0,9027600
2021-07-07,6951.96728515625,15125.0,15425.0,14825.0,15300.0,2733600
2021-07-08,6779.60595703125,14750.0,15200.0,14625.0,15000.0,1879900
2021-07-09,6825.56982421875,14850.0,14950.0,14650.0,14750.0,1708200
2021-07-12,6814.07861328125,14825.0,15350.0,14725.0,15000.0,2109300
2021-07-13,6595.75146484375,14350.0,14975.0,14200.0,14850.0,1830300
2021-07-14,6848.55126953125,14900.0,15150.0,14300.0,14400.0,3513100
2021-07-15,6917.49560546875,15050.0,15150.0,14800.0,14900.0,1427600
2021-07-16,7009.42236328125,15250.0,15550.0,15075.0,15100.0,2435300
2021-07-19,7112.8408203125,15475.0,15600.0,15250.0,15250.0,2433100
2021-07-21,7055.38720703125,15350.0,15600.0,15250.0,15550.0,1857600
2021-07-22,7560.98486328125,16450.0,16475.0,15375.0,15400.0,7982100
2021-07-23,7492.03955078125,16300.0,16400.0,15925.0,16400.0,2851800
2021-07-26,7365.6396484375,16025.0,16400.0,15975.0,16300.0,1555800
2021-07-27,7354.14892578125,16000.0,16375.0,15825.0,16050.0,1583900
2021-07-28,7698.87353515625,16750.0,16775.0,16000.0,16000.0,3039200
2021-07-29,7836.763671875,17050.0,17275.0,16675.0,16750.0,2697400
2021-07-30,7790.80078125,16950.0,17225.0,16550.0,17100.0,2758100
2021-08-02,7790.80078125,16950.0,17225.0,16675.0,17100.0,1194600
2021-08-03,7779.3095703125,16925.0,16975.0,16700.0,16950.0,1404900
2021-08-04,7698.87353515625,16750.0,16975.0,16600.0,16900.0,1191100
2021-08-05,7411.60302734375,16125.0,17150.0,15900.0,16850.0,4279600
2021-08-06,7434.583984375,16175.0,16350.0,15975.0,16000.0,1631800
