Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JPFA.JK,JPFA.JK,JPFA.JK,JPFA.JK,JPFA.JK,JPFA.JK
Date,,,,,,
2020-07-27,938.3594360351562,1130.0,1140.0,1115.0,1130.0,13910100
2020-07-28,934.2073974609375,1125.0,1145.0,1120.0,1130.0,14160000
2020-07-29,917.5992431640625,1105.0,1135.0,1100.0,1125.0,24456100
2020-07-30,880.23095703125,1060.0,1110.0,1055.0,1105.0,57596600
2020-08-03,830.4065551757812,1000.0,1065.0,990.0,1060.0,61561600
2020-08-04,847.0147705078125,1020.0,1040.0,1000.0,1010.0,32412900
2020-08-05,867.77490234375,1045.0,1045.0,1010.0,1025.0,20241500
2020-08-06,876.0789794921875,1055.0,1065.0,1050.0,1065.0,16256500
2020-08-07,867.77490234375,1045.0,1070.0,1045.0,1055.0,9515600
2020-08-10,876.0789794921875,1055.0,1070.0,1045.0,1045.0,9323400
2020-08-11,917.5992431640625,1105.0,1130.0,1055.0,1055.0,72306100
2020-08-12,913.4473266601562,1100.0,1115.0,1095.0,1115.0,27636000
2020-08-13,913.4473266601562,1100.0,1115.0,1090.0,1110.0,13465500
2020-08-14,921.7512817382812,1110.0,1125.0,1095.0,1105.0,25610600
2020-08-18,930.0553588867188,1120.0,1145.0,1110.0,1115.0,41320800
2020-08-19,925.9033203125,1115.0,1130.0,1100.0,1125.0,13648500
2020-08-24,938.3594360351562,1130.0,1145.0,1110.0,1110.0,28740800
2020-08-25,946.6634521484375,1140.0,1150.0,1125.0,1135.0,26971200
2020-08-26,959.1195068359375,1155.0,1170.0,1130.0,1140.0,54134300
2020-08-27,946.6634521484375,1140.0,1170.0,1140.0,1160.0,12628800
2020-08-28,934.2073974609375,1125.0,1155.0,1120.0,1150.0,15310300
2020-08-31,1013.095947265625,1220.0,1255.0,1125.0,1125.0,247693500
2020-09-01,971.57568359375,1170.0,1235.0,1150.0,1185.0,77204400
2020-09-02,992.3358764648438,1195.0,1205.0,1150.0,1150.0,45978800
2020-09-03,979.8798217773438,1180.0,1215.0,1175.0,1195.0,25484700
2020-09-04,967.423583984375,1165.0,1170.0,1140.0,1170.0,19766100
2020-09-07,963.2716674804688,1160.0,1175.0,1155.0,1170.0,16755100
2020-09-08,967.423583984375,1165.0,1200.0,1160.0,1170.0,18534400
2020-09-09,950.8155517578125,1145.0,1160.0,1140.0,1150.0,17520700
2020-09-10,884.3829956054688,1065.0,1140.0,1065.0,1140.0,27727100
2020-09-11,917.5992431640625,1105.0,1120.0,1000.0,1015.0,27111600
2020-09-14,946.6634521484375,1140.0,1145.0,1110.0,1110.0,21347100
2020-09-15,930.0553588867188,1120.0,1155.0,1120.0,1150.0,11581200
2020-09-16,925.9033203125,1115.0,1130.0,1100.0,1120.0,7114800
2020-09-17,925.9033203125,1115.0,1125.0,1105.0,1115.0,10407500
2020-09-18,934.2073974609375,1125.0,1145.0,1115.0,1120.0,9451300
2020-09-21,930.0553588867188,1120.0,1145.0,1105.0,1130.0,10599600
2020-09-22,930.0553588867188,1120.0,1125.0,1085.0,1100.0,10795600
2020-09-23,921.7512817382812,1110.0,1140.0,1100.0,1130.0,13539900
2020-09-24,892.68701171875,1075.0,1115.0,1070.0,1105.0,9963100
2020-09-25,925.9033203125,1115.0,1120.0,1075.0,1075.0,10961700
2020-09-28,925.9033203125,1115.0,1130.0,1105.0,1125.0,9873500
2020-09-29,913.4473266601562,1100.0,1130.0,1095.0,1115.0,11072500
2020-09-30,917.5992431640625,1105.0,1115.0,1095.0,1100.0,10190200
2020-10-01,971.57568359375,1170.0,1175.0,1105.0,1115.0,31509800
2020-10-02,950.8155517578125,1145.0,1165.0,1125.0,1165.0,12356900
2020-10-05,950.8155517578125,1145.0,1150.0,1140.0,1145.0,4356100
2020-10-06,963.2716674804688,1160.0,1185.0,1145.0,1155.0,17356200
2020-10-07,942.5114135742188,1135.0,1160.0,1135.0,1160.0,10518600
2020-10-08,938.3594360351562,1130.0,1150.0,1125.0,1140.0,10410000
2020-10-09,942.5114135742188,1135.0,1145.0,1130.0,1130.0,12199900
2020-10-12,942.5114135742188,1135.0,1155.0,1130.0,1145.0,15095800
2020-10-13,954.9675903320312,1150.0,1155.0,1120.0,1135.0,14298000
2020-10-14,967.423583984375,1165.0,1180.0,1150.0,1155.0,22467300
2020-10-15,954.9675903320312,1150.0,1165.0,1145.0,1165.0,10611700
2020-10-16,942.5114135742188,1135.0,1160.0,1135.0,1150.0,4785400
2020-10-19,946.6634521484375,1140.0,1155.0,1140.0,1155.0,4749600
2020-10-20,938.3594360351562,1130.0,1150.0,1120.0,1140.0,6955500
2020-10-21,946.6634521484375,1140.0,1145.0,1130.0,1140.0,7014600
2020-10-22,913.4473266601562,1100.0,1135.0,1100.0,1135.0,43651400
2020-10-23,909.2952270507812,1095.0,1115.0,1095.0,1115.0,8693900
2020-10-26,905.1431274414062,1090.0,1115.0,1085.0,1095.0,9753900
2020-10-27,888.5350341796875,1070.0,1100.0,1070.0,1085.0,15530800
2020-11-02,876.0789794921875,1055.0,1085.0,1050.0,1050.0,19279900
2020-11-03,884.3829956054688,1065.0,1080.0,1060.0,1060.0,16395800
2020-11-04,884.3829956054688,1065.0,1080.0,1055.0,1070.0,11915000
2020-11-05,909.2952270507812,1095.0,1105.0,1070.0,1075.0,24199400
2020-11-06,946.6634521484375,1140.0,1145.0,1095.0,1100.0,57860700
2020-11-09,950.8155517578125,1145.0,1165.0,1130.0,1155.0,19431600
2020-11-10,996.4878540039062,1200.0,1215.0,1160.0,1160.0,79439800
2020-11-11,1021.4000854492188,1230.0,1235.0,1210.0,1215.0,36815800
2020-11-12,1013.095947265625,1220.0,1230.0,1175.0,1230.0,34803100
2020-11-13,1013.095947265625,1220.0,1245.0,1190.0,1215.0,33273300
2020-11-16,1058.768310546875,1275.0,1295.0,1230.0,1230.0,54993200
2020-11-17,1050.4642333984375,1265.0,1290.0,1260.0,1290.0,27946000
2020-11-18,1067.072509765625,1285.0,1290.0,1255.0,1265.0,21466700
2020-11-19,1058.768310546875,1275.0,1320.0,1275.0,1290.0,42255800
2020-11-20,1042.1602783203125,1255.0,1285.0,1230.0,1275.0,20392000
2020-11-23,1071.224365234375,1290.0,1295.0,1250.0,1255.0,14107100
2020-11-24,1096.1368408203125,1320.0,1320.0,1300.0,1305.0,19097600
2020-11-25,1112.7447509765625,1340.0,1370.0,1325.0,1345.0,40122200
2020-11-26,1116.896728515625,1345.0,1355.0,1330.0,1340.0,8624000
2020-11-27,1150.113037109375,1385.0,1415.0,1355.0,1355.0,27907600
2020-11-30,1108.5927734375,1335.0,1400.0,1305.0,1400.0,40530100
2020-12-01,1145.961181640625,1380.0,1425.0,1335.0,1335.0,37230900
2020-12-02,1204.089599609375,1450.0,1450.0,1380.0,1385.0,25678700
2020-12-03,1191.6334228515625,1435.0,1460.0,1425.0,1455.0,17138300
2020-12-04,1187.4814453125,1430.0,1430.0,1405.0,1405.0,12238900
2020-12-07,1191.6334228515625,1435.0,1455.0,1425.0,1450.0,15845500
2020-12-08,1187.4814453125,1430.0,1450.0,1415.0,1440.0,13376900
2020-12-10,1183.329345703125,1425.0,1445.0,1415.0,1440.0,16363900
2020-12-11,1179.1773681640625,1420.0,1425.0,1415.0,1425.0,7495600
2020-12-14,1282.978271484375,1545.0,1550.0,1425.0,1425.0,46566800
2020-12-15,1295.4342041015625,1560.0,1565.0,1480.0,1545.0,21294800
2020-12-16,1399.2349853515625,1685.0,1700.0,1575.0,1575.0,41474100
2020-12-17,1332.802490234375,1605.0,1695.0,1595.0,1690.0,33895200
2020-12-18,1357.714599609375,1635.0,1650.0,1605.0,1605.0,10969100
2020-12-21,1370.1707763671875,1650.0,1720.0,1625.0,1635.0,33179200
2020-12-22,1299.5863037109375,1565.0,1650.0,1535.0,1650.0,25463500
2020-12-23,1278.8260498046875,1540.0,1585.0,1460.0,1565.0,32561400
2020-12-28,1312.0423583984375,1580.0,1600.0,1490.0,1540.0,27189900
2020-12-29,1270.5220947265625,1530.0,1605.0,1515.0,1590.0,12714700
2020-12-30,1216.545654296875,1465.0,1545.0,1465.0,1530.0,20413900
2021-01-04,1233.1536865234375,1485.0,1500.0,1410.0,1465.0,18415800
2021-01-05,1241.457763671875,1495.0,1515.0,1445.0,1480.0,14093800
2021-01-06,1241.457763671875,1495.0,1565.0,1435.0,1510.0,37089400
2021-01-07,1224.849853515625,1475.0,1500.0,1465.0,1495.0,13763500
2021-01-08,1237.3057861328125,1490.0,1510.0,1465.0,1475.0,39884400
2021-01-11,1216.545654296875,1465.0,1510.0,1455.0,1490.0,21675700
2021-01-12,1204.089599609375,1450.0,1480.0,1445.0,1465.0,22138300
2021-01-13,1208.2415771484375,1455.0,1475.0,1445.0,1465.0,13103100
