Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK
Date,,,,,,
2020-07-20,3962.64892578125,4240.0,4430.0,4230.0,4420.0,8460600
2020-07-21,3990.6865234375,4270.0,4310.0,4160.0,4260.0,5943900
2020-07-22,3953.302978515625,4230.0,4330.0,4220.0,4330.0,3951000
2020-07-23,3915.919921875,4190.0,4250.0,4160.0,4240.0,12125100
2020-07-24,3775.7314453125,4040.0,4180.0,4010.0,4180.0,15587000
2020-07-27,3803.76904296875,4070.0,4100.0,4020.0,4100.0,5359300
2020-07-28,3766.3857421875,4030.0,4120.0,4020.0,4070.0,6841500
2020-07-29,3729.002197265625,3990.0,4060.0,3960.0,4030.0,5734800
2020-07-30,3672.927001953125,3930.0,4020.0,3900.0,4010.0,10167500
2020-08-03,3607.505859375,3860.0,3960.0,3680.0,3960.0,10716200
2020-08-04,3785.077392578125,4050.0,4080.0,3860.0,3880.0,6876300
2020-08-05,3934.611572265625,4210.0,4210.0,4040.0,4070.0,15772700
2020-08-06,3803.76904296875,4070.0,4240.0,4060.0,4230.0,8086400
2020-08-07,3766.3857421875,4030.0,4120.0,3970.0,4120.0,7705200
2020-08-10,3747.694091796875,4010.0,4050.0,3970.0,4050.0,3594800
2020-08-11,3785.077392578125,4050.0,4070.0,4010.0,4020.0,5855300
2020-08-12,3850.49853515625,4120.0,4140.0,4060.0,4060.0,5327000
2020-08-13,3869.190185546875,4140.0,4190.0,4110.0,4140.0,7242500
2020-08-14,3794.42333984375,4060.0,4150.0,4060.0,4140.0,4136600
2020-08-18,3785.077392578125,4050.0,4130.0,4030.0,4100.0,6441600
2020-08-19,3719.656494140625,3980.0,4080.0,3980.0,4070.0,17284900
2020-08-24,3691.61865234375,3950.0,4020.0,3940.0,4000.0,7813600
2020-08-25,3700.964599609375,3960.0,3980.0,3950.0,3980.0,6206400
2020-08-26,3682.272705078125,3940.0,4030.0,3930.0,4000.0,11483200
2020-08-27,3682.272705078125,3940.0,3970.0,3930.0,3950.0,6258800
2020-08-28,3719.656494140625,3980.0,3980.0,3940.0,3970.0,4891400
2020-08-31,3654.2353515625,3910.0,4000.0,3880.0,3980.0,12696700
2020-09-01,3635.54345703125,3890.0,3950.0,3850.0,3910.0,6199200
2020-09-02,3654.2353515625,3910.0,3920.0,3850.0,3920.0,9732900
2020-09-03,3607.505859375,3860.0,3950.0,3850.0,3920.0,6341100
2020-09-04,3626.19775390625,3880.0,3890.0,3770.0,3820.0,8143000
2020-09-07,3514.047119140625,3760.0,3840.0,3750.0,3800.0,14028800
2020-09-08,3420.58837890625,3660.0,3800.0,3630.0,3770.0,14676100
2020-09-09,3271.0546875,3500.0,3620.0,3460.0,3610.0,17502000
2020-09-10,3046.753662109375,3260.0,3330.0,3260.0,3330.0,15435800
2020-09-11,3102.8291015625,3320.0,3430.0,3050.0,3100.0,35478100
2020-09-14,3364.51318359375,3600.0,3600.0,3390.0,3390.0,24252900
2020-09-15,3233.671142578125,3460.0,3650.0,3440.0,3630.0,20758600
2020-09-16,3140.212158203125,3360.0,3450.0,3350.0,3450.0,12246400
2020-09-17,3074.791259765625,3290.0,3370.0,3240.0,3340.0,13411700
2020-09-18,3102.8291015625,3320.0,3340.0,3230.0,3300.0,14317600
2020-09-21,3009.370361328125,3220.0,3360.0,3210.0,3320.0,7013300
2020-09-22,2925.257568359375,3130.0,3200.0,3120.0,3160.0,17416400
2020-09-23,2981.332763671875,3190.0,3220.0,3080.0,3150.0,8612600
2020-09-24,3037.40771484375,3250.0,3260.0,3110.0,3150.0,11581200
2020-09-25,3205.6337890625,3430.0,3440.0,3240.0,3300.0,15737500
2020-09-28,3345.821533203125,3580.0,3590.0,3420.0,3470.0,21462200
2020-09-29,3299.09228515625,3530.0,3620.0,3480.0,3600.0,10092600
2020-09-30,3373.859375,3610.0,3620.0,3430.0,3500.0,7427600
2020-10-01,3392.551025390625,3630.0,3640.0,3530.0,3610.0,5859200
2020-10-02,3271.0546875,3500.0,3630.0,3480.0,3630.0,4708300
2020-10-05,3345.821533203125,3580.0,3600.0,3450.0,3500.0,5474600
2020-10-06,3476.663818359375,3720.0,3740.0,3600.0,3610.0,15418800
2020-10-07,3467.31787109375,3710.0,3730.0,3660.0,3720.0,4554800
