Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MAPA.JK,MAPA.JK,MAPA.JK,MAPA.JK,MAPA.JK,MAPA.JK
Date,,,,,,
2020-07-15,211.0667266845703,215.0,227.0,212.0,220.0,15485000
2020-07-16,215.97523498535156,220.0,228.0,215.0,216.0,24383000
2020-07-17,220.88377380371094,225.0,225.0,219.0,220.0,16964000
2020-07-20,217.93865966796875,222.0,228.0,222.0,226.0,12231000
2020-07-21,226.77398681640625,231.0,236.0,222.0,222.0,12917000
2020-07-22,223.82888793945312,228.0,232.0,226.0,232.0,9299000
2020-07-23,223.82888793945312,228.0,230.0,226.0,228.0,11834000
2020-07-24,215.97523498535156,220.0,229.0,220.0,226.0,23836000
2020-07-27,218.92037963867188,223.0,224.0,219.0,220.0,2283000
2020-07-28,215.97523498535156,220.0,223.0,220.0,223.0,11287000
2020-07-29,215.97523498535156,220.0,223.0,218.0,220.0,1360000
2020-07-30,215.97523498535156,220.0,224.0,218.0,220.0,3239000
2020-08-03,207.13990783691406,211.0,222.0,205.0,222.0,15287000
2020-08-04,206.15818786621094,210.0,216.0,205.0,209.0,22712000
2020-08-05,206.15818786621094,210.0,220.0,210.0,210.0,31275000
2020-08-06,205.17648315429688,209.0,215.0,208.0,210.0,61665000
2020-08-07,204.19476318359375,208.0,213.0,206.0,209.0,11760000
2020-08-10,201.24966430664062,205.0,213.0,203.0,211.0,5600000
2020-08-11,208.12159729003906,212.0,213.0,203.0,205.0,16133000
2020-08-12,214.99354553222656,219.0,220.0,210.0,211.0,24060000
2020-08-13,224.8105926513672,229.0,230.0,219.0,220.0,13138000
2020-08-14,225.7923126220703,230.0,234.0,227.0,231.0,21541000
2020-08-18,225.7923126220703,230.0,232.0,228.0,229.0,29310000
2020-08-19,235.60935974121094,240.0,245.0,227.0,230.0,26585000
2020-08-24,235.60935974121094,240.0,244.0,228.0,243.0,13041000
2020-08-25,233.6459503173828,238.0,240.0,232.0,240.0,10320000
2020-08-26,230.70082092285156,235.0,246.0,235.0,240.0,5265000
2020-08-27,229.71913146972656,234.0,236.0,230.0,235.0,5960000
2020-08-28,223.82888793945312,228.0,234.0,226.0,234.0,4995000
2020-08-31,222.84716796875,227.0,230.0,221.0,230.0,10146000
2020-09-01,217.93865966796875,222.0,227.0,220.0,227.0,13642000
2020-09-02,216.9569549560547,221.0,224.0,220.0,223.0,6682000
2020-09-03,215.97523498535156,220.0,222.0,219.0,221.0,7631000
2020-09-04,214.0118408203125,218.0,221.0,211.0,221.0,15290000
2020-09-07,211.0667266845703,215.0,225.0,215.0,218.0,20239000
2020-09-08,213.03013610839844,217.0,219.0,215.0,215.0,2258000
2020-09-09,209.10330200195312,213.0,216.0,211.0,214.0,3521000
2020-09-10,194.86856079101562,198.5,200.0,198.5,200.0,43173000
2020-09-11,196.3411102294922,200.0,217.0,190.0,192.0,18961000
2020-09-14,205.17648315429688,209.0,216.0,203.0,203.0,8376000
2020-09-15,206.15818786621094,210.0,210.0,208.0,209.0,3221000
