Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MAPI.JK,MAPI.JK,MAPI.JK,MAPI.JK,MAPI.JK,MAPI.JK
Date,,,,,,
2020-09-23,559.4503784179688,570.0,585.0,555.0,575.0,8792400
2020-09-24,549.6354370117188,560.0,585.0,535.0,550.0,12074100
2020-09-25,569.2653198242188,580.0,595.0,555.0,565.0,12762500
2020-09-28,564.3578491210938,575.0,590.0,565.0,585.0,2568500
2020-09-29,564.3578491210938,575.0,590.0,565.0,580.0,16164500
2020-09-30,559.4503784179688,570.0,580.0,560.0,575.0,5835400
2020-10-01,569.2653198242188,580.0,590.0,575.0,580.0,12404300
2020-10-02,554.5429077148438,565.0,590.0,555.0,580.0,6964500
2020-10-05,549.6354370117188,560.0,570.0,560.0,565.0,4672100
2020-10-06,588.8950805664062,600.0,600.0,560.0,565.0,18059500
2020-10-07,579.0801391601562,590.0,605.0,585.0,605.0,4529000
2020-10-08,579.0801391601562,590.0,600.0,585.0,585.0,4896900
2020-10-09,593.8025512695312,605.0,615.0,585.0,590.0,11713000
2020-10-12,633.062255859375,645.0,670.0,620.0,650.0,35513600
2020-10-13,637.9697265625,650.0,660.0,630.0,660.0,15912900
2020-10-14,642.877197265625,655.0,665.0,650.0,655.0,10125300
2020-10-15,642.877197265625,655.0,670.0,650.0,655.0,14169900
2020-10-16,628.15478515625,640.0,660.0,635.0,655.0,3758100
2020-10-19,628.15478515625,640.0,650.0,640.0,645.0,3533000
2020-10-20,623.247314453125,635.0,640.0,620.0,640.0,9048800
2020-10-21,633.062255859375,645.0,645.0,625.0,635.0,7626600
2020-10-22,623.247314453125,635.0,645.0,630.0,645.0,6328100
2020-10-23,623.247314453125,635.0,640.0,625.0,635.0,11913700
2020-10-26,637.9697265625,650.0,650.0,630.0,635.0,17856000
2020-10-27,642.877197265625,655.0,655.0,640.0,650.0,10922200
2020-11-02,628.15478515625,640.0,660.0,635.0,655.0,18210500
2020-11-03,628.15478515625,640.0,650.0,630.0,630.0,7631900
2020-11-04,618.33984375,630.0,645.0,620.0,645.0,7021900
2020-11-05,637.9697265625,650.0,650.0,625.0,630.0,24414800
2020-11-06,657.599609375,670.0,670.0,650.0,650.0,24381000
2020-11-09,687.0443115234375,700.0,710.0,670.0,680.0,51213200
2020-11-10,721.396484375,735.0,755.0,725.0,725.0,98318000
2020-11-11,731.21142578125,745.0,750.0,710.0,740.0,34239300
2020-11-12,760.6561889648438,775.0,780.0,720.0,745.0,25532400
2020-11-13,741.0263671875,755.0,780.0,745.0,775.0,5882000
2020-11-16,750.8412475585938,765.0,770.0,740.0,755.0,22445500
2020-11-17,750.8412475585938,765.0,820.0,755.0,765.0,35042000
2020-11-18,760.6561889648438,775.0,780.0,735.0,765.0,9638100
2020-11-19,770.4711303710938,785.0,800.0,770.0,775.0,46754200
2020-11-20,770.4711303710938,785.0,795.0,775.0,785.0,19898900
2020-11-23,770.4711303710938,785.0,790.0,780.0,790.0,11131800
2020-11-24,795.0083618164062,810.0,830.0,765.0,785.0,19492300
2020-11-25,834.26806640625,850.0,850.0,790.0,810.0,55963800
2020-11-26,853.89794921875,870.0,965.0,840.0,850.0,57707200
2020-11-27,848.990478515625,865.0,870.0,860.0,870.0,15999600
2020-11-30,790.1008911132812,805.0,870.0,805.0,865.0,25983000
2020-12-01,785.1934814453125,800.0,835.0,760.0,810.0,18747000
2020-12-02,824.4531860351562,840.0,845.0,790.0,800.0,31656500
2020-12-03,790.1008911132812,805.0,850.0,800.0,835.0,34804600
2020-12-04,780.2860717773438,795.0,805.0,770.0,805.0,28562700
2020-12-07,790.1008911132812,805.0,830.0,795.0,795.0,51252700
2020-12-08,809.7307739257812,825.0,835.0,795.0,805.0,68864300
2020-12-10,829.3606567382812,845.0,870.0,825.0,825.0,38824400
2020-12-11,878.4352416992188,895.0,905.0,845.0,845.0,54647300
2020-12-14,878.4352416992188,895.0,915.0,855.0,900.0,36339700
2020-12-15,873.5277709960938,890.0,900.0,835.0,895.0,30063100
2020-12-16,873.5277709960938,890.0,895.0,870.0,890.0,21960800
2020-12-17,927.509765625,945.0,955.0,870.0,895.0,54831700
2020-12-18,902.9725341796875,920.0,960.0,910.0,945.0,34531800
2020-12-21,902.9725341796875,920.0,945.0,905.0,920.0,16199800
2020-12-22,898.0650634765625,915.0,920.0,885.0,920.0,16432300
2020-12-23,888.2501220703125,905.0,915.0,855.0,915.0,22135300
2020-12-28,888.2501220703125,905.0,925.0,890.0,925.0,7210900
2020-12-29,829.3606567382812,845.0,910.0,845.0,900.0,17934800
2020-12-30,775.3786010742188,790.0,845.0,790.0,845.0,55886300
2021-01-04,814.6382446289062,830.0,845.0,795.0,795.0,22596800
2021-01-05,824.4531860351562,840.0,845.0,830.0,830.0,13583200
2021-01-06,790.1008911132812,805.0,855.0,800.0,840.0,36623100
2021-01-07,799.9158325195312,815.0,825.0,805.0,810.0,23585800
2021-01-08,819.5457153320312,835.0,835.0,815.0,815.0,12543500
2021-01-11,799.9158325195312,815.0,835.0,800.0,835.0,18511300
2021-01-12,780.2860717773438,795.0,830.0,790.0,815.0,58356000
2021-01-13,780.2860717773438,795.0,810.0,790.0,800.0,21195000
2021-01-14,795.0083618164062,810.0,830.0,795.0,800.0,32794300
2021-01-15,795.0083618164062,810.0,825.0,800.0,815.0,19130800
2021-01-18,780.2860717773438,795.0,835.0,795.0,810.0,25606000
2021-01-19,750.8412475585938,765.0,805.0,750.0,795.0,44747500
2021-01-20,790.1008911132812,805.0,810.0,735.0,765.0,53015400
2021-01-21,780.2860717773438,795.0,820.0,780.0,820.0,9962800
2021-01-22,731.21142578125,745.0,800.0,740.0,800.0,26517500
2021-01-25,745.9337768554688,760.0,810.0,695.0,745.0,60040500
2021-01-26,760.6561889648438,775.0,775.0,750.0,765.0,32830800
2021-01-27,795.0083618164062,810.0,810.0,750.0,775.0,31104500
2021-01-28,760.6561889648438,775.0,815.0,765.0,810.0,20975200
2021-01-29,755.7487182617188,770.0,800.0,755.0,775.0,11267200
2021-02-01,760.6561889648438,775.0,785.0,755.0,770.0,36369900
2021-02-02,745.9337768554688,760.0,795.0,750.0,775.0,40123700
2021-02-03,745.9337768554688,760.0,775.0,750.0,765.0,14782500
2021-02-04,745.9337768554688,760.0,770.0,745.0,770.0,14323300
2021-02-05,736.118896484375,750.0,770.0,750.0,765.0,17654600
2021-02-08,745.9337768554688,760.0,770.0,750.0,760.0,33334300
2021-02-09,731.21142578125,745.0,805.0,740.0,760.0,38392900
2021-02-10,731.21142578125,745.0,755.0,740.0,745.0,9774700
2021-02-11,741.0263671875,755.0,765.0,735.0,745.0,20790000
2021-02-15,741.0263671875,755.0,765.0,740.0,755.0,27053800
2021-02-16,736.118896484375,750.0,760.0,740.0,755.0,18340900
2021-02-17,721.396484375,735.0,755.0,725.0,750.0,24572900
2021-02-18,721.396484375,735.0,750.0,720.0,735.0,33491100
2021-02-19,716.489013671875,730.0,740.0,725.0,740.0,13801400
2021-02-22,780.2860717773438,795.0,795.0,730.0,735.0,62174300
2021-02-23,795.0083618164062,810.0,820.0,760.0,800.0,29588900
2021-02-24,799.9158325195312,815.0,820.0,790.0,820.0,24041500
2021-02-25,785.1934814453125,800.0,820.0,795.0,815.0,15109900
