Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK
Date,,,,,,
2020-11-11,343.2786560058594,408.0,410.0,390.0,400.0,222117500
2020-11-12,334.86492919921875,398.0,412.0,396.0,410.0,83182400
2020-11-13,338.23046875,402.0,404.0,390.0,398.0,86042800
2020-11-16,350.0096435546875,416.0,418.0,396.0,396.0,145397600
2020-11-17,355.0578308105469,422.0,430.0,420.0,424.0,163095700
2020-11-18,351.6924133300781,418.0,424.0,416.0,422.0,73697900
2020-11-19,360.1061096191406,428.0,440.0,418.0,420.0,170128400
2020-11-20,358.4233093261719,426.0,438.0,422.0,434.0,90991700
2020-11-23,392.0780944824219,466.0,466.0,428.0,432.0,323413200
2020-11-24,397.1263427734375,472.0,488.0,468.0,472.0,310070000
2020-11-25,398.8090515136719,474.0,496.0,472.0,482.0,222252000
2020-11-26,433.3052062988281,515.0,520.0,474.0,478.0,444178000
2020-11-27,429.098388671875,510.0,515.0,494.0,510.0,169313400
2020-11-30,419.00189208984375,498.0,540.0,480.0,530.0,350432400
2020-12-01,424.8915100097656,505.0,515.0,484.0,510.0,173643800
2020-12-02,454.33941650390625,540.0,550.0,505.0,505.0,357521700
2020-12-03,466.9599609375,555.0,575.0,550.0,550.0,205778900
2020-12-04,471.1668395996094,560.0,565.0,540.0,565.0,101576200
2020-12-07,475.37359619140625,565.0,580.0,555.0,570.0,98270200
2020-12-08,471.1668395996094,560.0,580.0,540.0,570.0,179224800
2020-12-10,492.2010192871094,585.0,600.0,570.0,570.0,215574100
2020-12-11,530.0626220703125,630.0,645.0,595.0,600.0,348177500
2020-12-14,534.26953125,635.0,650.0,625.0,640.0,125619800
2020-12-15,530.0626220703125,630.0,645.0,610.0,635.0,154519600
2020-12-16,538.476318359375,640.0,645.0,620.0,635.0,123290700
2020-12-17,563.7174682617188,670.0,700.0,645.0,655.0,272242500
2020-12-18,559.5106201171875,665.0,695.0,660.0,660.0,121054600
2020-12-21,563.7174682617188,670.0,700.0,665.0,675.0,192659900
2020-12-22,525.8558349609375,625.0,670.0,625.0,665.0,260572700
