Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PGAS.JK,PGAS.JK,PGAS.JK,PGAS.JK,PGAS.JK,PGAS.JK
Date,,,,,,
2020-10-01,655.6907348632812,955.0,965.0,925.0,935.0,135636100
2020-10-02,631.6602172851562,920.0,955.0,900.0,955.0,202315100
2020-10-05,638.5260009765625,930.0,940.0,920.0,930.0,73231200
2020-10-06,665.989501953125,970.0,985.0,940.0,940.0,188135700
2020-10-07,669.4224853515625,975.0,975.0,955.0,960.0,111553200
2020-10-08,672.8554077148438,980.0,1005.0,975.0,985.0,213952200
2020-10-09,672.8554077148438,980.0,985.0,970.0,980.0,60133400
2020-10-12,686.587158203125,1000.0,1005.0,985.0,995.0,153562000
2020-10-13,710.61767578125,1035.0,1050.0,990.0,1005.0,208008500
2020-10-14,731.2152709960938,1065.0,1080.0,1030.0,1035.0,186576800
2020-10-15,710.61767578125,1035.0,1090.0,1030.0,1065.0,159965400
2020-10-16,707.1847534179688,1030.0,1050.0,1020.0,1040.0,86552600
2020-10-19,731.2152709960938,1065.0,1065.0,1035.0,1040.0,96583500
2020-10-20,717.4835205078125,1045.0,1080.0,1045.0,1065.0,123254200
2020-10-21,727.7823486328125,1060.0,1070.0,1050.0,1055.0,76196800
2020-10-22,727.7823486328125,1060.0,1090.0,1040.0,1055.0,201741400
2020-10-23,731.2152709960938,1065.0,1075.0,1055.0,1070.0,64536300
2020-10-26,758.6787719726562,1105.0,1105.0,1065.0,1065.0,187108900
2020-10-27,738.0811767578125,1075.0,1115.0,1075.0,1105.0,158392800
2020-11-02,727.7823486328125,1060.0,1070.0,1045.0,1050.0,94255000
2020-11-03,738.0811767578125,1075.0,1085.0,1060.0,1075.0,80932200
2020-11-04,720.91650390625,1050.0,1090.0,1050.0,1085.0,71755300
2020-11-05,741.5140991210938,1080.0,1085.0,1065.0,1065.0,62948400
2020-11-06,755.245849609375,1100.0,1110.0,1070.0,1090.0,124221100
2020-11-09,772.4105224609375,1125.0,1125.0,1100.0,1115.0,128688800
2020-11-10,806.7398071289062,1175.0,1190.0,1140.0,1160.0,239757500
2020-11-11,827.3375244140625,1205.0,1230.0,1170.0,1180.0,217771400
2020-11-12,806.7398071289062,1175.0,1210.0,1165.0,1205.0,117718300
2020-11-13,810.1727905273438,1180.0,1185.0,1160.0,1165.0,73550300
2020-11-16,834.203369140625,1215.0,1220.0,1190.0,1190.0,117888500
