Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTBA.JK,PTBA.JK,PTBA.JK,PTBA.JK,PTBA.JK,PTBA.JK
Date,,,,,,
2021-07-12,931.333251953125,2120.0,2160.0,2120.0,2150.0,12700100
2021-07-13,913.7608032226562,2080.0,2140.0,2060.0,2120.0,12721100
2021-07-14,909.3677368164062,2070.0,2120.0,2060.0,2080.0,11271500
2021-07-15,922.5469970703125,2100.0,2110.0,2070.0,2070.0,7678900
2021-07-16,935.7262573242188,2130.0,2170.0,2100.0,2100.0,27623200
2021-07-19,940.1192626953125,2140.0,2160.0,2120.0,2140.0,13533600
2021-07-21,935.7262573242188,2130.0,2170.0,2110.0,2140.0,17241000
2021-07-22,988.4431762695312,2250.0,2270.0,2140.0,2150.0,44501800
2021-07-23,975.263916015625,2220.0,2310.0,2220.0,2300.0,32513700
2021-07-26,984.0501708984375,2240.0,2270.0,2220.0,2220.0,17187000
2021-07-27,979.6571044921875,2230.0,2270.0,2210.0,2260.0,11666700
2021-07-28,970.8709716796875,2210.0,2240.0,2180.0,2230.0,13950700
2021-07-29,984.0501708984375,2240.0,2270.0,2190.0,2220.0,20433300
2021-07-30,979.6571044921875,2230.0,2270.0,2200.0,2230.0,19335700
2021-08-02,984.0501708984375,2240.0,2270.0,2210.0,2250.0,13784600
2021-08-03,975.263916015625,2220.0,2240.0,2210.0,2240.0,9003000
2021-08-04,992.8363647460938,2260.0,2270.0,2230.0,2250.0,15136800
2021-08-05,962.084716796875,2190.0,2290.0,2190.0,2270.0,23635900
2021-08-06,975.263916015625,2220.0,2240.0,2200.0,2210.0,11295600
2021-08-09,970.8709716796875,2210.0,2270.0,2200.0,2240.0,16669900
2021-08-10,988.4431762695312,2250.0,2260.0,2210.0,2240.0,15439200
2021-08-12,1041.1602783203125,2370.0,2380.0,2250.0,2270.0,53808100
2021-08-13,1027.98095703125,2340.0,2390.0,2310.0,2380.0,29949200
2021-08-16,1023.5878295898438,2330.0,2370.0,2320.0,2350.0,18091800
2021-08-18,988.4431762695312,2250.0,2320.0,2240.0,2320.0,34384400
2021-08-19,944.5123901367188,2150.0,2270.0,2130.0,2250.0,43424500
2021-08-20,926.9400024414062,2110.0,2170.0,2100.0,2150.0,39361100
2021-08-23,922.5469970703125,2100.0,2130.0,2080.0,2120.0,53197900
2021-08-24,913.7608032226562,2080.0,2140.0,2070.0,2120.0,35462400
2021-08-25,918.1538696289062,2090.0,2110.0,2090.0,2090.0,15412100
2021-08-26,922.5469970703125,2100.0,2120.0,2080.0,2100.0,15548200
2021-08-27,913.7608032226562,2080.0,2110.0,2080.0,2100.0,11491100
2021-08-30,926.9400024414062,2110.0,2120.0,2090.0,2100.0,17414300
2021-08-31,926.9400024414062,2110.0,2120.0,2100.0,2110.0,24026300
2021-09-01,957.691650390625,2180.0,2210.0,2150.0,2150.0,72378300
2021-09-02,962.084716796875,2190.0,2220.0,2170.0,2200.0,33632700
2021-09-03,1006.0155639648438,2290.0,2290.0,2200.0,2200.0,57376600
2021-09-06,1014.8016357421875,2310.0,2340.0,2290.0,2300.0,34645400
2021-09-07,1001.6224365234375,2280.0,2330.0,2270.0,2320.0,18759700
2021-09-08,1010.4086303710938,2300.0,2310.0,2250.0,2280.0,28186200
2021-09-09,1027.98095703125,2340.0,2350.0,2280.0,2300.0,41081700
2021-09-10,1032.3740234375,2350.0,2360.0,2310.0,2340.0,26774900
2021-09-13,1023.5878295898438,2330.0,2350.0,2310.0,2350.0,11547300
2021-09-14,1041.1602783203125,2370.0,2380.0,2340.0,2350.0,31209400
2021-09-15,1058.7325439453125,2410.0,2430.0,2350.0,2360.0,38499200
2021-09-16,1058.7325439453125,2410.0,2460.0,2380.0,2420.0,41284500
2021-09-17,1019.19482421875,2320.0,2370.0,2300.0,2350.0,51739300
2021-09-20,1006.0155639648438,2290.0,2340.0,2270.0,2320.0,17119100
2021-09-21,1001.6224365234375,2280.0,2300.0,2230.0,2290.0,25481900
2021-09-22,1032.3740234375,2350.0,2370.0,2280.0,2290.0,26238200
2021-09-23,1063.1256103515625,2420.0,2430.0,2360.0,2390.0,36159800
2021-09-24,1076.304931640625,2450.0,2510.0,2440.0,2450.0,60322600
2021-09-27,1080.6978759765625,2460.0,2510.0,2440.0,2460.0,28935900
2021-09-28,1155.3802490234375,2630.0,2640.0,2500.0,2500.0,97944900
2021-09-29,1159.7733154296875,2640.0,2680.0,2600.0,2610.0,70824000
2021-09-30,1212.490478515625,2760.0,2790.0,2640.0,2640.0,81040500
2021-10-01,1194.91796875,2720.0,2810.0,2700.0,2760.0,84607400
2021-10-04,1269.6004638671875,2890.0,2930.0,2780.0,2780.0,99049500
2021-10-05,1247.6351318359375,2840.0,3000.0,2800.0,2950.0,121685900
2021-10-06,1247.6351318359375,2840.0,2960.0,2810.0,2920.0,99269600
2021-10-07,1177.345703125,2680.0,2770.0,2660.0,2750.0,119597200
2021-10-08,1221.2764892578125,2780.0,2790.0,2690.0,2690.0,62867400
2021-10-11,1247.6351318359375,2840.0,2880.0,2780.0,2810.0,68436800
2021-10-12,1243.241943359375,2830.0,2890.0,2810.0,2880.0,56681900
2021-10-13,1225.6695556640625,2790.0,2850.0,2790.0,2830.0,29495800
2021-10-14,1238.848876953125,2820.0,2850.0,2790.0,2800.0,36796500
