Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK
Date,,,,,,
2021-06-04,8990.4912109375,10346.21484375,10520.7294921875,10246.4921875,10520.7294921875,4183908
2021-06-07,9012.154296875,10371.1455078125,10470.8681640625,10196.630859375,10470.8681640625,2376393
2021-06-08,8817.1796875,10146.76953125,10371.1455078125,10071.9775390625,10246.4921875,3888488
2021-06-09,9012.154296875,10371.1455078125,10470.8681640625,10146.76953125,10146.76953125,4040510
2021-06-10,8947.1630859375,10296.353515625,10470.8681640625,10246.4921875,10470.8681640625,2359245
2021-06-11,8947.1630859375,10296.353515625,10421.0068359375,10296.353515625,10296.353515625,3022485
2021-06-14,8817.1796875,10146.76953125,10570.5908203125,10096.908203125,10570.5908203125,3407052
2021-06-15,8838.84375,10171.7001953125,10246.4921875,10047.046875,10096.908203125,4714179
2021-06-16,8838.84375,10171.7001953125,10246.4921875,10121.8388671875,10246.4921875,2372883
2021-06-17,8578.876953125,9872.5322265625,10121.8388671875,9822.6708984375,10047.046875,4110705
2021-06-18,8578.876953125,9872.5322265625,10071.9775390625,9573.365234375,9972.2548828125,7291630
2021-06-21,8665.533203125,9972.2548828125,10022.1162109375,9623.2265625,9772.8095703125,3268668
2021-06-22,8405.5673828125,9673.087890625,9972.2548828125,9673.087890625,9972.2548828125,4916340
2021-06-23,8405.5673828125,9673.087890625,9922.3935546875,9673.087890625,9772.8095703125,1964851
2021-06-24,8427.2294921875,9698.017578125,9947.32421875,9673.087890625,9772.8095703125,3437537
2021-06-25,8427.2294921875,9698.017578125,9822.6708984375,9648.1572265625,9772.8095703125,1717465
2021-06-28,8080.6103515625,9299.1279296875,9772.8095703125,9299.1279296875,9772.8095703125,3122864
2021-06-29,8297.248046875,9548.4345703125,9772.8095703125,9373.919921875,9448.7119140625,3568400
2021-06-30,8232.2568359375,9473.642578125,9747.87890625,9473.642578125,9747.87890625,2331669
2021-07-01,8145.6005859375,9373.919921875,9573.365234375,9299.1279296875,9548.4345703125,2056004
2021-07-02,8058.9443359375,9274.197265625,9523.50390625,9274.197265625,9373.919921875,2512370
2021-07-05,7972.28955078125,9174.474609375,9299.1279296875,9099.6826171875,9299.1279296875,1271427
