Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK
Date,,,,,,
2020-09-30,1971.008544921875,2560.0,2650.0,2540.0,2630.0,235611600
2020-10-01,2117.294189453125,2750.0,2760.0,2600.0,2600.0,225006000
2020-10-02,2063.39990234375,2680.0,2750.0,2650.0,2750.0,140161900
2020-10-05,2040.302001953125,2650.0,2710.0,2640.0,2690.0,124720200
2020-10-06,2040.302001953125,2650.0,2700.0,2620.0,2680.0,148977400
2020-10-07,2048.001220703125,2660.0,2670.0,2620.0,2650.0,110186000
2020-10-08,2078.798095703125,2700.0,2720.0,2650.0,2670.0,154587800
2020-10-09,2101.89599609375,2730.0,2750.0,2700.0,2710.0,109122300
2020-10-12,2101.89599609375,2730.0,2760.0,2710.0,2750.0,77479100
2020-10-13,2101.89599609375,2730.0,2740.0,2680.0,2730.0,97205500
2020-10-14,2163.489990234375,2810.0,2830.0,2710.0,2730.0,183236500
2020-10-15,2140.392333984375,2780.0,2850.0,2760.0,2800.0,138462900
2020-10-16,2117.294189453125,2750.0,2780.0,2720.0,2780.0,135175000
2020-10-19,2086.497802734375,2710.0,2810.0,2710.0,2800.0,187840500
2020-10-20,2055.700439453125,2670.0,2740.0,2670.0,2710.0,168211100
2020-10-21,2063.39990234375,2680.0,2710.0,2670.0,2680.0,142146300
2020-10-22,2078.798095703125,2700.0,2720.0,2650.0,2670.0,257179400
2020-10-23,2024.903564453125,2630.0,2720.0,2630.0,2710.0,166356000
2020-10-26,2040.302001953125,2650.0,2680.0,2630.0,2630.0,97523200
2020-10-27,2017.2042236328125,2620.0,2690.0,2620.0,2640.0,146366600
2020-11-02,1971.008544921875,2560.0,2620.0,2550.0,2590.0,391510600
2020-11-03,1986.4072265625,2580.0,2590.0,2540.0,2570.0,188874000
2020-11-04,1986.4072265625,2580.0,2640.0,2580.0,2600.0,150678200
2020-11-05,2132.693359375,2770.0,2810.0,2620.0,2630.0,369260400
2020-11-06,2178.888427734375,2830.0,2840.0,2750.0,2800.0,243865800
2020-11-09,2217.384765625,2880.0,2900.0,2840.0,2860.0,208192700
2020-11-10,2201.986328125,2860.0,2950.0,2860.0,2950.0,195337300
2020-11-11,2371.36962890625,3080.0,3100.0,2880.0,2900.0,480530200
2020-11-12,2340.57275390625,3040.0,3080.0,3010.0,3080.0,169609900
2020-11-13,2302.07666015625,2990.0,3010.0,2950.0,3010.0,186708800
2020-11-16,2363.670654296875,3070.0,3100.0,3020.0,3040.0,206145500
2020-11-17,2479.159423828125,3220.0,3270.0,3100.0,3100.0,527501800
2020-11-18,2448.3623046875,3180.0,3250.0,3160.0,3200.0,239122600
2020-11-19,2440.6630859375,3170.0,3220.0,3140.0,3150.0,185558800
2020-11-20,2479.159423828125,3220.0,3270.0,3180.0,3190.0,211892500
2020-11-23,2556.15185546875,3320.0,3340.0,3220.0,3230.0,260752200
2020-11-24,2579.24951171875,3350.0,3380.0,3330.0,3350.0,207503900
2020-11-25,2525.354736328125,3280.0,3390.0,3280.0,3370.0,253156200
2020-11-26,2671.640625,3470.0,3480.0,3280.0,3280.0,374185400
2020-11-27,2663.94140625,3460.0,3500.0,3420.0,3480.0,163651600
2020-11-30,2486.858642578125,3230.0,3470.0,3220.0,3460.0,624142600
2020-12-01,2494.557861328125,3240.0,3320.0,3160.0,3230.0,277929200
2020-12-02,2563.85107421875,3330.0,3330.0,3240.0,3270.0,187276600
2020-12-03,2540.75341796875,3300.0,3360.0,3280.0,3330.0,121434200
2020-12-04,2502.257080078125,3250.0,3280.0,3210.0,3270.0,170418900
2020-12-07,2563.85107421875,3330.0,3330.0,3260.0,3280.0,175436900
2020-12-08,2540.75341796875,3300.0,3350.0,3290.0,3350.0,113775100
2020-12-10,2509.95654296875,3260.0,3290.0,3250.0,3270.0,229380200
2020-12-11,2525.354736328125,3280.0,3330.0,3250.0,3270.0,154365400
2020-12-14,2556.15185546875,3320.0,3340.0,3250.0,3300.0,281474900
2020-12-15,2656.2421875,3450.0,3490.0,3290.0,3320.0,410175700
2020-12-16,2779.43017578125,3610.0,3640.0,3500.0,3500.0,455088400
2020-12-17,2725.53564453125,3540.0,3620.0,3520.0,3610.0,249797800
2020-12-18,2702.4375,3510.0,3540.0,3500.0,3500.0,187856600
2020-12-21,2710.136962890625,3520.0,3610.0,3510.0,3530.0,267970200
2020-12-22,2586.948974609375,3360.0,3540.0,3340.0,3500.0,311860000
2020-12-23,2556.15185546875,3320.0,3420.0,3240.0,3350.0,240067600
2020-12-28,2640.843505859375,3430.0,3460.0,3280.0,3370.0,178138100
2020-12-29,2633.144287109375,3420.0,3530.0,3400.0,3500.0,184525500
2020-12-30,2548.452880859375,3310.0,3420.0,3310.0,3420.0,150844500
2021-01-04,2687.039306640625,3490.0,3500.0,3310.0,3320.0,165339800
2021-01-05,2671.640625,3470.0,3480.0,3420.0,3480.0,157800700
2021-01-06,2594.648193359375,3370.0,3490.0,3330.0,3470.0,177877900
2021-01-07,2610.046630859375,3390.0,3450.0,3380.0,3390.0,140221900
2021-01-08,2748.633056640625,3570.0,3620.0,3440.0,3450.0,492643700
2021-01-11,2771.731201171875,3600.0,3640.0,3570.0,3590.0,271231200
2021-01-12,2702.4375,3510.0,3620.0,3500.0,3600.0,189779500
2021-01-13,2679.33984375,3480.0,3550.0,3460.0,3550.0,162329300
2021-01-14,2694.738525390625,3500.0,3590.0,3470.0,3480.0,187448400
2021-01-15,2679.33984375,3480.0,3540.0,3450.0,3510.0,133304300
2021-01-18,2656.2421875,3450.0,3520.0,3430.0,3480.0,138913100
2021-01-19,2625.445068359375,3410.0,3490.0,3370.0,3470.0,144100700
2021-01-20,2671.640625,3470.0,3480.0,3380.0,3420.0,116098100
2021-01-21,2679.33984375,3480.0,3520.0,3460.0,3500.0,81801900
2021-01-22,2610.046630859375,3390.0,3440.0,3360.0,3420.0,165024200
2021-01-25,2594.648193359375,3370.0,3410.0,3310.0,3370.0,118131800
2021-01-26,2509.95654296875,3260.0,3390.0,3260.0,3360.0,111414500
2021-01-27,2602.34765625,3380.0,3380.0,3260.0,3340.0,159144700
2021-01-28,2494.557861328125,3240.0,3330.0,3230.0,3280.0,142648800
2021-01-29,2394.467529296875,3110.0,3290.0,3110.0,3290.0,191915100
2021-02-01,2486.858642578125,3230.0,3250.0,3040.0,3130.0,133929600
2021-02-02,2517.655517578125,3270.0,3330.0,3250.0,3300.0,114734600
2021-02-03,2494.557861328125,3240.0,3330.0,3220.0,3250.0,86433900
