Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,,
2021-02-03,5815.70068359375,7175.0,7325.0,7000.0,7100.0,16730800
2021-02-04,5917.02001953125,7300.0,7325.0,7175.0,7250.0,17606900
2021-02-05,5856.22900390625,7225.0,7350.0,7200.0,7325.0,11295000
2021-02-08,5754.91015625,7100.0,7250.0,7100.0,7225.0,14010900
2021-02-09,5754.91015625,7100.0,7175.0,7025.0,7150.0,10394200
2021-02-10,5795.43798828125,7150.0,7150.0,7025.0,7150.0,6019200
2021-02-11,5815.70068359375,7175.0,7175.0,7100.0,7175.0,3700200
2021-02-15,5714.3828125,7050.0,7175.0,7025.0,7175.0,8252200
2021-02-16,5694.11865234375,7025.0,7100.0,7000.0,7100.0,11529000
2021-02-17,5754.91015625,7100.0,7100.0,6975.0,7000.0,6980200
2021-02-18,5653.591796875,6975.0,7100.0,6975.0,7075.0,11085900
2021-02-19,5633.3271484375,6950.0,6975.0,6900.0,6975.0,8791400
2021-02-22,5572.53662109375,6875.0,7000.0,6875.0,6975.0,14949100
2021-02-23,5552.2724609375,6850.0,6925.0,6800.0,6900.0,12860600
2021-02-24,5552.2724609375,6850.0,6950.0,6850.0,6850.0,10340700
2021-02-25,5491.4814453125,6775.0,6900.0,6750.0,6850.0,14021800
2021-02-26,5673.8544921875,7000.0,7000.0,6675.0,6750.0,26873400
2021-03-01,5532.00830078125,6825.0,7000.0,6800.0,7000.0,13054100
2021-03-02,5532.00830078125,6825.0,6850.0,6725.0,6825.0,17348900
2021-03-03,5572.53662109375,6875.0,6900.0,6775.0,6825.0,8276700
2021-03-04,5450.95263671875,6725.0,6875.0,6725.0,6875.0,10778200
2021-03-05,5450.95263671875,6725.0,6750.0,6675.0,6700.0,6029300
2021-03-08,5390.16162109375,6650.0,6800.0,6625.0,6800.0,10141900
2021-03-09,5309.107421875,6550.0,6700.0,6475.0,6700.0,18687300
2021-03-10,5329.3701171875,6575.0,6625.0,6525.0,6575.0,6458000
2021-03-12,5430.68994140625,6700.0,6700.0,6575.0,6575.0,6978300
2021-03-15,5329.3701171875,6575.0,6725.0,6575.0,6700.0,12546500
2021-03-16,5309.107421875,6550.0,6650.0,6525.0,6575.0,12107300
2021-03-17,5248.3154296875,6475.0,6600.0,6475.0,6550.0,10231700
2021-03-18,5349.634765625,6600.0,6600.0,6500.0,6500.0,12740200
2021-03-19,5471.21728515625,6750.0,6750.0,6525.0,6600.0,24004400
2021-03-22,5430.68994140625,6700.0,6775.0,6675.0,6750.0,6044900
