kode,nama,sektor,subsektor,ipo_date
ACES,Ace Hardware Indonesia Tbk,,,
ADMR,Adaro Minerals Indonesia Tbk,,,
ADRO,Adaro Energy Indonesia Tbk,,,
AKRA,AKR Corporindo Tbk,,,
AMMN,Amman Mineral Internasional Tbk,,,
AMRT,Sumber Alfaria Trijaya Tbk,,,
ANTM,Aneka Tambang Tbk,,,
ARTO,Bank Jago Tbk,,,
ASII,Astra International Tbk,,,
BBCA,Bank Central Asia Tbk,,,
BBNI,Bank Negara Indonesia Tbk,,,
BBRI,Bank Rakyat Indonesia Tbk,,,
BBTN,Bank Tabungan Negara Tbk,,,
BMRI,Bank Mandiri Tbk,,,
BRIS,Bank Syariah Indonesia Tbk,,,
BRPT,Barito Pacific Tbk,,,
CPIN,Charoen Pokphand Indonesia Tbk,,,
CTRA,Ciputra Development Tbk,,,
ESSA,ESSA Industries Tbk,,,
EXCL,XL Axiata Tbk,,,
GOTO,GoTo Gojek Tokopedia Tbk,,,
ICBP,Indofood CBP Sukses Makmur Tbk,,,
INCO,Vale Indonesia Tbk,,,
INDF,Indofood Sukses Makmur Tbk,,,
INKP,Indah Kiat Pulp and Paper Tbk,,,
ISAT,Indosat Tbk,,,
ITMG,Indo Tambangraya Megah Tbk,,,
JPFA,Japfa Comfeed Indonesia Tbk,,,
JSMR,Jasa Marga Tbk,,,
KLBF,Kalbe Farma Tbk,,,
MAPA,MAP Aktif Adiperkasa Tbk,,,
MAPI,Mitra Adiperkasa Tbk,,,
MBMA,Merdeka Battery Materials Tbk,,,
MDKA,Merdeka Copper Gold Tbk,,,
MEDC,Medco Energy Internasional Tbk,,,
PGAS,Perusahaan Gas Negara Tbk,,,
PGEO,Pertamina Geothermal Energy Tbk,,,
PTBA,Bukit Asam Tbk,,,
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk,,,
SMGR,Semen Indonesia Tbk,,,
SMRA,Summarecon Agung Tbk,,,
TLKM,Telkom Indonesia Tbk,,,
TOWR,Sarana Menara Nusantara Tbk,,,
UNTR,United Tractors Tbk,,,
UNVR,Unilever Indonesia Tbk,,,
